expiration,strike,option_type,DTE,openInterest
2026-09-25,105.0,PUT,2,140.0
2026-09-25,110.0,CALL,2,4.0
2026-09-25,110.0,PUT,2,2.0
2026-09-25,115.0,PUT,2,1.0
2026-09-25,120.0,CALL,2,1.0
2026-09-25,120.0,PUT,2,10.0
2026-09-25,125.0,CALL,2,2.0
2026-09-25,125.0,PUT,2,10.0
2026-09-25,130.0,CALL,2,2.0
2026-09-25,130.0,PUT,2,68.0
2026-09-25,135.0,PUT,2,75.0
2026-09-25,140.0,CALL,2,2.0
2026-09-25,140.0,PUT,2,126.0
2026-09-25,145.0,CALL,2,0.0
2026-09-25,145.0,PUT,2,165.0
2026-09-25,149.0,PUT,2,46.0
2026-09-25,150.0,CALL,2,16.0
2026-09-25,150.0,PUT,2,236.0
2026-09-25,152.5,PUT,2,7.0
2026-09-25,155.0,CALL,2,5.0
2026-09-25,155.0,PUT,2,79.0
2026-09-25,157.5,PUT,2,62.0
2026-09-25,160.0,CALL,2,9.0
2026-09-25,160.0,PUT,2,975.0
2026-09-25,162.5,PUT,2,50.0
2026-09-25,165.0,CALL,2,7.0
2026-09-25,165.0,PUT,2,264.0
2026-09-25,167.5,CALL,2,0.0
2026-09-25,167.5,PUT,2,108.0
2026-09-25,170.0,CALL,2,56.0
2026-09-25,170.0,PUT,2,670.0
2026-09-25,172.5,CALL,2,4.0
2026-09-25,172.5,PUT,2,155.0
2026-09-25,175.0,CALL,2,21.0
2026-09-25,175.0,PUT,2,339.0
2026-09-25,177.5,CALL,2,9.0
2026-09-25,177.5,PUT,2,89.0
2026-09-25,180.0,CALL,2,107.0
2026-09-25,180.0,PUT,2,458.0
2026-09-25,182.5,CALL,2,54.0
2026-09-25,182.5,PUT,2,70.0
2026-09-25,185.0,CALL,2,73.0
2026-09-25,185.0,PUT,2,312.0
2026-09-25,187.5,CALL,2,278.0
2026-09-25,187.5,PUT,2,218.0
2026-09-25,190.0,CALL,2,1321.0
2026-09-25,190.0,PUT,2,523.0
2026-09-25,192.5,CALL,2,156.0
2026-09-25,192.5,PUT,2,64.0
2026-09-25,195.0,CALL,2,344.0
2026-09-25,195.0,PUT,2,268.0
2026-09-25,197.5,CALL,2,368.0
2026-09-25,197.5,PUT,2,208.0
2026-09-25,200.0,CALL,2,1257.0
2026-09-25,200.0,PUT,2,741.0
2026-09-25,202.5,CALL,2,1456.0
2026-09-25,202.5,PUT,2,187.0
