expiration,strike,option_type,DTE,openInterest
2026-09-18,125.0,PUT,5,60
2026-09-18,130.0,CALL,5,0
2026-09-18,130.0,PUT,5,9
2026-09-18,140.0,PUT,5,150
2026-09-18,145.0,CALL,5,3
2026-09-18,145.0,PUT,5,64
2026-09-18,150.0,CALL,5,4
2026-09-18,150.0,PUT,5,99
2026-09-18,155.0,PUT,5,8
2026-09-18,160.0,CALL,5,4
2026-09-18,160.0,PUT,5,35
2026-09-18,165.0,CALL,5,7
2026-09-18,165.0,PUT,5,47
2026-09-18,170.0,CALL,5,5
2026-09-18,170.0,PUT,5,25
2026-09-18,175.0,CALL,5,11
2026-09-18,175.0,PUT,5,123
2026-09-18,180.0,CALL,5,3
2026-09-18,180.0,PUT,5,178
2026-09-18,185.0,CALL,5,8
2026-09-18,185.0,PUT,5,153
2026-09-18,190.0,CALL,5,21
2026-09-18,190.0,PUT,5,628
2026-09-18,195.0,CALL,5,17
2026-09-18,195.0,PUT,5,901
2026-09-18,200.0,CALL,5,23
2026-09-18,200.0,PUT,5,1269
2026-09-18,210.0,CALL,5,11
2026-09-18,210.0,PUT,5,1887
2026-09-18,220.0,CALL,5,43
2026-09-18,220.0,PUT,5,2721
2026-09-18,230.0,CALL,5,103
2026-09-18,230.0,PUT,5,1425
2026-09-18,235.0,PUT,5,9
2026-09-18,240.0,CALL,5,571
2026-09-18,240.0,PUT,5,2571
2026-09-18,245.0,CALL,5,1
2026-09-18,245.0,PUT,5,17
2026-09-18,250.0,CALL,5,617
2026-09-18,250.0,PUT,5,2845
2026-09-18,252.5,PUT,5,34
2026-09-18,255.0,CALL,5,1
2026-09-18,255.0,PUT,5,30
2026-09-18,257.5,PUT,5,15
2026-09-18,260.0,CALL,5,514
2026-09-18,260.0,PUT,5,3684
2026-09-18,262.5,CALL,5,2
2026-09-18,262.5,PUT,5,34
2026-09-18,265.0,CALL,5,1
2026-09-18,265.0,PUT,5,223
2026-09-18,267.5,PUT,5,59
2026-09-18,270.0,CALL,5,1244
2026-09-18,270.0,PUT,5,1870
2026-09-18,272.5,CALL,5,2
2026-09-18,272.5,PUT,5,68
2026-09-18,275.0,CALL,5,25
2026-09-18,275.0,PUT,5,404
2026-09-18,277.5,CALL,5,52
2026-09-18,277.5,PUT,5,150
2026-09-18,280.0,CALL,5,3186
2026-09-18,280.0,PUT,5,2695
2026-09-18,282.5,CALL,5,63
2026-09-18,282.5,PUT,5,50
2026-09-18,285.0,CALL,5,125
2026-09-18,285.0,PUT,5,120
2026-09-18,287.5,CALL,5,55
2026-09-18,287.5,PUT,5,23
2026-09-18,290.0,CALL,5,1479
2026-09-18,290.0,PUT,5,984
2026-09-18,292.5,CALL,5,30
2026-09-18,292.5,PUT,5,25
2026-09-18,295.0,CALL,5,203
2026-09-18,295.0,PUT,5,20
2026-09-18,297.5,CALL,5,218
2026-09-18,297.5,PUT,5,3
2026-09-18,300.0,CALL,5,1873
2026-09-18,300.0,PUT,5,818
2026-09-18,302.5,CALL,5,93
2026-09-18,302.5,PUT,5,5
2026-09-18,305.0,CALL,5,181
2026-09-18,310.0,CALL,5,1448
2026-09-18,310.0,PUT,5,407
2026-09-18,315.0,CALL,5,139
2026-09-18,320.0,CALL,5,3261
2026-09-18,320.0,PUT,5,585
2026-09-18,330.0,CALL,5,1693
2026-09-18,330.0,PUT,5,513
2026-09-18,340.0,CALL,5,334
2026-09-18,340.0,PUT,5,5
2026-09-18,350.0,CALL,5,1289
2026-09-18,350.0,PUT,5,1
2026-09-18,360.0,CALL,5,484
2026-09-18,360.0,PUT,5,3
