expiration,strike,option_type,DTE,openInterest
2026-09-18,12.5,CALL,1,8
2026-09-18,12.5,PUT,1,399
2026-09-18,15.0,CALL,1,86
2026-09-18,15.0,PUT,1,6503
2026-09-18,16.0,PUT,1,0
2026-09-18,17.0,CALL,1,24
2026-09-18,17.5,CALL,1,139
2026-09-18,17.5,PUT,1,1977
2026-09-18,18.0,CALL,1,6
2026-09-18,19.0,CALL,1,82
2026-09-18,19.0,PUT,1,28
2026-09-18,20.0,CALL,1,1010
2026-09-18,20.0,PUT,1,3723
2026-09-18,20.5,CALL,1,12
2026-09-18,20.5,PUT,1,75
2026-09-18,21.0,CALL,1,34
2026-09-18,21.0,PUT,1,1376
2026-09-18,21.5,CALL,1,31
2026-09-18,21.5,PUT,1,63
2026-09-18,22.0,CALL,1,35
2026-09-18,22.0,PUT,1,451
2026-09-18,22.5,CALL,1,2531
2026-09-18,22.5,PUT,1,4203
2026-09-18,23.0,CALL,1,61
2026-09-18,23.0,PUT,1,1206
2026-09-18,23.5,CALL,1,82
2026-09-18,23.5,PUT,1,1083
2026-09-18,24.0,CALL,1,1426
2026-09-18,24.0,PUT,1,2017
2026-09-18,24.5,CALL,1,2363
2026-09-18,24.5,PUT,1,1089
2026-09-18,25.0,CALL,1,21953
2026-09-18,25.0,PUT,1,6444
2026-09-18,25.5,CALL,1,2336
2026-09-18,25.5,PUT,1,70
2026-09-18,26.0,CALL,1,3318
2026-09-18,26.0,PUT,1,70
2026-09-18,26.5,CALL,1,2162
2026-09-18,26.5,PUT,1,116
2026-09-18,27.0,CALL,1,910
2026-09-18,27.0,PUT,1,10
2026-09-18,27.5,CALL,1,8538
2026-09-18,27.5,PUT,1,1705
2026-09-18,28.0,CALL,1,1161
2026-09-18,28.0,PUT,1,3
2026-09-18,28.5,CALL,1,222
2026-09-18,28.5,PUT,1,2
2026-09-18,29.0,CALL,1,360
2026-09-18,29.0,PUT,1,1
2026-09-18,30.0,CALL,1,15889
2026-09-18,30.0,PUT,1,2795
2026-09-18,31.0,CALL,1,105
2026-09-18,31.0,PUT,1,0
2026-09-18,32.0,CALL,1,35
2026-09-18,32.0,PUT,1,0
2026-09-18,32.5,CALL,1,2893
2026-09-18,32.5,PUT,1,4
2026-09-18,33.0,CALL,1,14
2026-09-18,33.0,PUT,1,0
2026-09-18,34.0,CALL,1,7
2026-09-18,35.0,CALL,1,6063
2026-09-18,35.0,PUT,1,0
2026-09-18,37.5,CALL,1,2877
2026-09-18,37.5,PUT,1,0
2026-09-18,40.0,CALL,1,10275
2026-09-18,40.0,PUT,1,8
2026-09-18,42.5,CALL,1,1119
2026-09-18,42.5,PUT,1,14
2026-09-18,45.0,CALL,1,6253
2026-09-18,45.0,PUT,1,0
2026-09-18,47.5,CALL,1,916
2026-09-18,47.5,PUT,1,0
2026-09-18,50.0,CALL,1,3181
2026-09-18,50.0,PUT,1,38
2026-09-18,52.5,CALL,1,4524
2026-09-18,52.5,PUT,1,0
2026-09-18,55.0,CALL,1,2613
2026-09-18,55.0,PUT,1,32
2026-09-18,60.0,CALL,1,2661
2026-09-18,60.0,PUT,1,0
2026-09-18,65.0,CALL,1,301
2026-09-18,65.0,PUT,1,0
2026-09-18,70.0,CALL,1,459
2026-09-18,70.0,PUT,1,0
2026-09-25,14.0,CALL,8,1
2026-09-25,15.0,CALL,8,3
2026-09-25,16.0,CALL,8,2
2026-09-25,17.0,CALL,8,0
2026-09-25,18.0,CALL,8,3
2026-09-25,19.0,CALL,8,4
2026-09-25,19.0,PUT,8,9
2026-09-25,20.0,CALL,8,39
2026-09-25,20.0,PUT,8,75
2026-09-25,20.5,CALL,8,4
2026-09-25,21.0,CALL,8,17
2026-09-25,21.0,PUT,8,941
