expiration,strike,option_type,DTE,openInterest
2026-09-11,20.0,PUT,3,4
2026-09-11,25.0,PUT,3,2
2026-09-11,28.0,CALL,3,0
2026-09-11,29.0,PUT,3,1
2026-09-11,30.5,CALL,3,1
2026-09-11,31.0,CALL,3,1
2026-09-11,31.0,PUT,3,863
2026-09-11,31.5,PUT,3,1
2026-09-11,32.0,CALL,3,12
2026-09-11,32.0,PUT,3,237
2026-09-11,32.5,CALL,3,19
2026-09-11,32.5,PUT,3,72
2026-09-11,33.0,CALL,3,2
2026-09-11,33.0,PUT,3,1085
2026-09-11,33.5,CALL,3,3
2026-09-11,33.5,PUT,3,1957
2026-09-11,34.0,CALL,3,8
2026-09-11,34.0,PUT,3,733
2026-09-11,34.5,CALL,3,459
2026-09-11,34.5,PUT,3,65
2026-09-11,35.0,CALL,3,1453
2026-09-11,35.0,PUT,3,170
2026-09-11,35.5,CALL,3,2240
2026-09-11,35.5,PUT,3,91
2026-09-11,36.0,CALL,3,4631
2026-09-11,36.0,PUT,3,2371
2026-09-11,36.5,CALL,3,103
2026-09-11,36.5,PUT,3,3561
2026-09-11,37.0,CALL,3,276
2026-09-11,37.0,PUT,3,4854
2026-09-11,37.5,CALL,3,286
2026-09-11,37.5,PUT,3,750
2026-09-11,38.0,CALL,3,2538
2026-09-11,38.0,PUT,3,410
2026-09-11,38.5,CALL,3,704
2026-09-11,38.5,PUT,3,32
2026-09-11,39.0,CALL,3,14336
2026-09-11,39.0,PUT,3,16
2026-09-11,39.5,CALL,3,156
2026-09-11,39.5,PUT,3,50
2026-09-11,40.0,CALL,3,392
2026-09-11,40.0,PUT,3,0
2026-09-11,40.5,CALL,3,4161
2026-09-11,40.5,PUT,3,1
2026-09-11,41.0,CALL,3,321
2026-09-11,41.0,PUT,3,0
2026-09-11,41.5,CALL,3,55
2026-09-11,41.5,PUT,3,0
2026-09-11,42.0,CALL,3,789
2026-09-11,42.0,PUT,3,0
2026-09-11,43.0,PUT,3,0
2026-09-11,44.0,PUT,3,0
2026-09-11,45.0,PUT,3,0
2026-09-11,46.0,CALL,3,1
2026-09-11,46.0,PUT,3,0
2026-09-11,50.0,PUT,3,0
2026-09-18,18.0,PUT,10,0
2026-09-18,19.0,PUT,10,0
2026-09-18,20.0,PUT,10,0
2026-09-18,21.0,PUT,10,1
2026-09-18,22.0,PUT,10,131
2026-09-18,23.0,PUT,10,262
2026-09-18,24.0,PUT,10,337
2026-09-18,25.0,CALL,10,141
2026-09-18,25.0,PUT,10,1479
2026-09-18,26.0,CALL,10,1
2026-09-18,26.0,PUT,10,2949
2026-09-18,27.0,CALL,10,11
2026-09-18,27.0,PUT,10,17075
2026-09-18,28.0,CALL,10,19
2026-09-18,28.0,PUT,10,1511
2026-09-18,29.0,CALL,10,3
2026-09-18,29.0,PUT,10,4916
2026-09-18,29.5,PUT,10,33
2026-09-18,30.0,CALL,10,39
2026-09-18,30.0,PUT,10,21329
2026-09-18,30.5,PUT,10,2
2026-09-18,31.0,CALL,10,282
2026-09-18,31.0,PUT,10,14350
2026-09-18,31.5,PUT,10,10
2026-09-18,32.0,CALL,10,1069
2026-09-18,32.0,PUT,10,28740
2026-09-18,32.5,PUT,10,7
2026-09-18,33.0,CALL,10,11360
2026-09-18,33.0,PUT,10,21861
2026-09-18,33.5,CALL,10,2
2026-09-18,33.5,PUT,10,1260
2026-09-18,34.0,CALL,10,5370
2026-09-18,34.0,PUT,10,24673
2026-09-18,34.5,CALL,10,11
