expiration,strike,option_type,DTE,openInterest
2026-09-11,6.0,CALL,0,20
2026-09-11,6.0,PUT,0,102
2026-09-11,6.5,CALL,0,19
2026-09-11,6.5,PUT,0,112
2026-09-11,7.0,CALL,0,18
2026-09-11,7.0,PUT,0,102
2026-09-11,7.5,PUT,0,5
2026-09-11,8.0,PUT,0,1004
2026-09-11,8.5,PUT,0,1
2026-09-11,9.0,PUT,0,4
2026-09-11,9.5,PUT,0,3
2026-09-11,10.0,PUT,0,13
2026-09-11,10.5,PUT,0,52
2026-09-11,11.0,PUT,0,36
2026-09-11,11.5,CALL,0,17
2026-09-11,11.5,PUT,0,19
2026-09-11,12.0,CALL,0,27
2026-09-11,12.0,PUT,0,219
2026-09-11,12.5,CALL,0,11
2026-09-11,12.5,PUT,0,91
2026-09-11,13.0,CALL,0,10
2026-09-11,13.0,PUT,0,155
2026-09-11,13.5,CALL,0,49
2026-09-11,13.5,PUT,0,307
2026-09-11,14.0,CALL,0,58
2026-09-11,14.0,PUT,0,941
2026-09-11,14.5,CALL,0,449
2026-09-11,14.5,PUT,0,1775
2026-09-11,15.0,CALL,0,838
2026-09-11,15.0,PUT,0,1128
2026-09-11,15.5,CALL,0,1087
2026-09-11,15.5,PUT,0,222
2026-09-11,16.0,CALL,0,1664
2026-09-11,16.0,PUT,0,177
2026-09-11,16.5,CALL,0,832
2026-09-11,16.5,PUT,0,1
2026-09-11,17.0,CALL,0,993
2026-09-11,17.0,PUT,0,23
2026-09-11,17.5,CALL,0,605
2026-09-11,17.5,PUT,0,21
2026-09-11,18.0,CALL,0,579
2026-09-11,18.0,PUT,0,11
2026-09-11,18.5,CALL,0,124
2026-09-11,18.5,PUT,0,7
2026-09-11,19.0,CALL,0,378
2026-09-11,19.0,PUT,0,3
2026-09-11,19.5,CALL,0,129
2026-09-11,19.5,PUT,0,0
2026-09-11,20.0,CALL,0,441
2026-09-11,20.0,PUT,0,0
2026-09-11,20.5,CALL,0,14
2026-09-11,20.5,PUT,0,0
2026-09-11,21.0,CALL,0,122
2026-09-11,21.0,PUT,0,0
2026-09-11,21.5,CALL,0,4
2026-09-11,21.5,PUT,0,0
2026-09-11,22.0,CALL,0,187
2026-09-11,22.0,PUT,0,0
2026-09-11,22.5,CALL,0,8
2026-09-11,23.0,CALL,0,112
2026-09-11,23.0,PUT,0,1
2026-09-11,23.5,CALL,0,3
2026-09-11,23.5,PUT,0,0
2026-09-11,24.0,CALL,0,26
2026-09-11,24.0,PUT,0,10
2026-09-11,24.5,PUT,0,0
2026-09-11,25.0,CALL,0,165
2026-09-11,25.0,PUT,0,8
2026-09-11,25.5,PUT,0,0
2026-09-11,26.0,CALL,0,3
2026-09-11,26.5,PUT,0,1
2026-09-11,28.5,CALL,0,1
2026-09-11,29.0,CALL,0,1
2026-09-11,29.5,CALL,0,1
2026-09-18,1.0,CALL,7,186
2026-09-18,2.0,CALL,7,98
2026-09-18,3.0,CALL,7,6
2026-09-18,4.0,CALL,7,6
2026-09-18,5.0,CALL,7,35
2026-09-18,5.0,PUT,7,31
2026-09-18,6.0,PUT,7,4
2026-09-18,7.0,CALL,7,1
2026-09-18,7.0,PUT,7,1089
2026-09-18,8.0,CALL,7,95
2026-09-18,8.0,PUT,7,265
2026-09-18,9.0,CALL,7,12
2026-09-18,9.0,PUT,7,201
2026-09-18,10.0,CALL,7,47
2026-09-18,10.0,PUT,7,1053
2026-09-18,11.0,CALL,7,139
2026-09-18,11.0,PUT,7,1188
2026-09-18,12.0,CALL,7,125
2026-09-18,12.0,PUT,7,2022
2026-09-18,12.5,CALL,7,2
2026-09-18,12.5,PUT,7,51
2026-09-18,13.0,CALL,7,676
2026-09-18,13.0,PUT,7,1435
2026-09-18,13.5,PUT,7,287
2026-09-18,14.0,CALL,7,685
2026-09-18,14.0,PUT,7,4599
2026-09-18,14.5,CALL,7,328
2026-09-18,14.5,PUT,7,602
2026-09-18,15.0,CALL,7,3493
2026-09-18,15.0,PUT,7,2637
2026-09-18,15.5,CALL,7,312
2026-09-18,15.5,PUT,7,234
2026-09-18,16.0,CALL,7,1849
2026-09-18,16.0,PUT,7,2746
2026-09-18,16.5,CALL,7,456
2026-09-18,16.5,PUT,7,248
2026-09-18,17.0,CALL,7,1698
2026-09-18,17.0,PUT,7,926
2026-09-18,17.5,CALL,7,479
2026-09-18,17.5,PUT,7,14
2026-09-18,18.0,CALL,7,2947
2026-09-18,18.0,PUT,7,1453
2026-09-18,18.5,CALL,7,277
2026-09-18,18.5,PUT,7,6
2026-09-18,19.0,CALL,7,1145
2026-09-18,19.0,PUT,7,683
2026-09-18,19.5,CALL,7,160
2026-09-18,19.5,PUT,7,2
2026-09-18,20.0,CALL,7,3574
2026-09-18,20.0,PUT,7,1225
2026-09-18,20.5,CALL,7,41
2026-09-18,21.0,CALL,7,2650
2026-09-18,21.0,PUT,7,213
2026-09-18,21.5,CALL,7,48
2026-09-18,22.0,CALL,7,615
2026-09-18,22.0,PUT,7,128
2026-09-18,22.5,CALL,7,9
2026-09-18,23.0,CALL,7,2055
2026-09-18,23.0,PUT,7,567
2026-09-18,23.5,CALL,7,12
2026-09-18,24.0,CALL,7,1832
2026-09-18,24.0,PUT,7,52
2026-09-18,25.0,CALL,7,2371
2026-09-18,25.0,PUT,7,50
2026-09-18,26.0,CALL,7,1792
2026-09-18,26.0,PUT,7,11
2026-09-18,27.0,CALL,7,563
2026-09-18,27.0,PUT,7,0
2026-09-18,28.0,CALL,7,1152
2026-09-18,28.0,PUT,7,50
2026-09-18,29.0,CALL,7,398
2026-09-18,29.0,PUT,7,0
2026-09-18,30.0,CALL,7,3355
2026-09-18,30.0,PUT,7,25
2026-09-18,31.0,CALL,7,356
2026-09-18,31.0,PUT,7,21
2026-09-18,32.0,CALL,7,928
2026-09-18,32.0,PUT,7,3
2026-09-18,33.0,CALL,7,248
2026-09-18,33.0,PUT,7,0
2026-09-18,34.0,CALL,7,835
2026-09-18,34.0,PUT,7,10
2026-09-18,35.0,CALL,7,1153
2026-09-18,35.0,PUT,7,1
2026-09-18,36.0,CALL,7,313
2026-09-18,36.0,PUT,7,0
2026-09-18,37.0,CALL,7,1235
2026-09-18,37.0,PUT,7,0
2026-09-18,38.0,CALL,7,306
2026-09-18,38.0,PUT,7,5
2026-09-18,39.0,CALL,7,254
2026-09-18,39.0,PUT,7,0
2026-09-18,40.0,CALL,7,4455
2026-09-18,40.0,PUT,7,11
2026-09-18,41.0,CALL,7,171
2026-09-18,41.0,PUT,7,0
2026-09-18,42.0,CALL,7,4469
2026-09-18,42.0,PUT,7,97
2026-09-18,43.0,CALL,7,103
2026-09-18,43.0,PUT,7,0
2026-09-18,44.0,CALL,7,220
2026-09-18,44.0,PUT,7,0
2026-09-18,45.0,CALL,7,842
2026-09-18,45.0,PUT,7,0
2026-09-18,46.0,CALL,7,208
2026-09-18,46.0,PUT,7,0
2026-09-18,47.0,CALL,7,92
2026-09-18,47.0,PUT,7,0
2026-09-18,48.0,CALL,7,131
2026-09-18,48.0,PUT,7,0
2026-09-18,49.0,CALL,7,159
2026-09-18,50.0,CALL,7,659
2026-09-18,50.0,PUT,7,0
2026-09-18,55.0,CALL,7,1935
2026-09-18,55.0,PUT,7,0
2026-09-18,60.0,CALL,7,678
2026-09-18,60.0,PUT,7,0
2026-09-18,65.0,CALL,7,921
2026-09-18,65.0,PUT,7,0
2026-09-25,8.0,PUT,14,2
2026-09-25,8.5,PUT,14,1
2026-09-25,9.0,PUT,14,4
2026-09-25,9.5,PUT,14,19
2026-09-25,10.0,CALL,14,3
2026-09-25,10.0,PUT,14,50
2026-09-25,10.5,PUT,14,9
2026-09-25,11.0,PUT,14,326
2026-09-25,11.5,PUT,14,16
2026-09-25,12.0,CALL,14,5
2026-09-25,12.0,PUT,14,63
2026-09-25,12.5,CALL,14,3
2026-09-25,12.5,PUT,14,46
2026-09-25,13.0,CALL,14,13
2026-09-25,13.0,PUT,14,383
2026-09-25,13.5,CALL,14,32
2026-09-25,13.5,PUT,14,86
2026-09-25,14.0,CALL,14,138
2026-09-25,14.0,PUT,14,258
2026-09-25,14.5,CALL,14,46
2026-09-25,14.5,PUT,14,58
2026-09-25,15.0,CALL,14,223
2026-09-25,15.0,PUT,14,126
2026-09-25,15.5,CALL,14,77
2026-09-25,15.5,PUT,14,39
2026-09-25,16.0,CALL,14,100
2026-09-25,16.0,PUT,14,787
2026-09-25,16.5,CALL,14,160
2026-09-25,16.5,PUT,14,95
2026-09-25,17.0,CALL,14,299
2026-09-25,17.0,PUT,14,666
2026-09-25,17.5,CALL,14,1532
2026-09-25,17.5,PUT,14,11
2026-09-25,18.0,CALL,14,335
2026-09-25,18.0,PUT,14,107
2026-09-25,18.5,CALL,14,113
2026-09-25,18.5,PUT,14,105
2026-09-25,19.0,CALL,14,104
2026-09-25,19.0,PUT,14,127
2026-09-25,20.0,CALL,14,1083
2026-09-25,20.0,PUT,14,43
2026-09-25,21.0,CALL,14,35
2026-09-25,21.0,PUT,14,28
2026-09-25,22.0,CALL,14,209
2026-09-25,22.0,PUT,14,2
2026-09-25,23.0,CALL,14,2148
2026-09-25,23.0,PUT,14,1
2026-09-25,24.0,CALL,14,157
2026-09-25,24.0,PUT,14,11
2026-09-25,25.0,CALL,14,151
2026-09-25,25.0,PUT,14,6
2026-09-25,30.0,CALL,14,127
2026-10-02,7.0,CALL,21,2
2026-10-02,8.0,PUT,21,2
2026-10-02,9.0,PUT,21,2
2026-10-02,10.0,CALL,21,1
2026-10-02,10.0,PUT,21,12
2026-10-02,11.0,PUT,21,2001
2026-10-02,11.5,CALL,21,1
2026-10-02,11.5,PUT,21,13
2026-10-02,12.0,CALL,21,1
2026-10-02,12.0,PUT,21,46
2026-10-02,12.5,PUT,21,21
2026-10-02,13.0,CALL,21,44
2026-10-02,13.0,PUT,21,38
2026-10-02,13.5,CALL,21,3
2026-10-02,13.5,PUT,21,42
2026-10-02,14.0,CALL,21,33
2026-10-02,14.0,PUT,21,115
2026-10-02,14.5,CALL,21,3
2026-10-02,14.5,PUT,21,38
2026-10-02,15.0,CALL,21,41
2026-10-02,15.0,PUT,21,170
2026-10-02,15.5,CALL,21,38
2026-10-02,15.5,PUT,21,31
2026-10-02,16.0,CALL,21,26
2026-10-02,16.0,PUT,21,101
2026-10-02,16.5,CALL,21,156
2026-10-02,16.5,PUT,21,23
2026-10-02,17.0,CALL,21,142
2026-10-02,17.0,PUT,21,61
2026-10-02,17.5,CALL,21,16
2026-10-02,17.5,PUT,21,18
2026-10-02,18.0,CALL,21,457
2026-10-02,18.0,PUT,21,14
2026-10-02,18.5,CALL,21,39
2026-10-02,18.5,PUT,21,28
2026-10-02,19.0,CALL,21,264
2026-10-02,19.0,PUT,21,16
2026-10-02,19.5,CALL,21,45
2026-10-02,19.5,PUT,21,11
2026-10-02,20.0,CALL,21,590
2026-10-02,20.0,PUT,21,21
2026-10-02,20.5,CALL,21,73
2026-10-02,20.5,PUT,21,24
2026-10-02,21.0,CALL,21,57
2026-10-02,21.0,PUT,21,1
2026-10-02,21.5,CALL,21,17
