expiration,strike,option_type,DTE,openInterest
2026-09-18,30.0,CALL,5,283
2026-09-18,30.0,PUT,5,239
2026-09-18,35.0,CALL,5,63
2026-09-18,35.0,PUT,5,262
2026-09-18,40.0,CALL,5,52
2026-09-18,40.0,PUT,5,5699
2026-09-18,45.0,CALL,5,77
2026-09-18,45.0,PUT,5,2624
2026-09-18,50.0,CALL,5,197
2026-09-18,50.0,PUT,5,3816
2026-09-18,55.0,CALL,5,244
2026-09-18,55.0,PUT,5,7760
2026-09-18,60.0,CALL,5,402
2026-09-18,60.0,PUT,5,11237
2026-09-18,65.0,CALL,5,863
2026-09-18,65.0,PUT,5,7548
2026-09-18,70.0,CALL,5,798
2026-09-18,70.0,PUT,5,8249
2026-09-18,75.0,CALL,5,713
2026-09-18,75.0,PUT,5,11354
2026-09-18,80.0,CALL,5,1369
2026-09-18,80.0,PUT,5,9518
2026-09-18,85.0,CALL,5,1532
2026-09-18,85.0,PUT,5,3075
2026-09-18,90.0,CALL,5,1261
2026-09-18,90.0,PUT,5,4005
2026-09-18,95.0,CALL,5,5309
2026-09-18,95.0,PUT,5,2537
2026-09-18,100.0,CALL,5,2349
2026-09-18,100.0,PUT,5,2786
2026-09-18,105.0,CALL,5,827
2026-09-18,105.0,PUT,5,1117
2026-09-18,110.0,CALL,5,1495
2026-09-18,110.0,PUT,5,1754
2026-09-18,115.0,CALL,5,707
2026-09-18,115.0,PUT,5,1935
2026-09-18,120.0,CALL,5,4668
2026-09-18,120.0,PUT,5,4409
2026-09-18,125.0,CALL,5,799
2026-09-18,125.0,PUT,5,3259
2026-09-18,130.0,CALL,5,1709
2026-09-18,130.0,PUT,5,2546
2026-09-18,135.0,CALL,5,3759
2026-09-18,135.0,PUT,5,2338
2026-09-18,140.0,CALL,5,1028
2026-09-18,140.0,PUT,5,10493
2026-09-18,145.0,CALL,5,928
2026-09-18,145.0,PUT,5,2796
2026-09-18,150.0,CALL,5,1090
2026-09-18,150.0,PUT,5,3939
2026-09-18,155.0,CALL,5,1991
2026-09-18,155.0,PUT,5,7156
2026-09-18,160.0,CALL,5,846
2026-09-18,160.0,PUT,5,4403
2026-09-18,165.0,CALL,5,374
2026-09-18,165.0,PUT,5,7920
2026-09-18,170.0,CALL,5,1032
2026-09-18,170.0,PUT,5,5852
2026-09-18,175.0,CALL,5,497
2026-09-18,175.0,PUT,5,3524
2026-09-18,180.0,CALL,5,1629
2026-09-18,180.0,PUT,5,3420
2026-09-18,185.0,CALL,5,2840
2026-09-18,185.0,PUT,5,3355
2026-09-18,190.0,CALL,5,1141
2026-09-18,190.0,PUT,5,4485
2026-09-18,195.0,CALL,5,378
2026-09-18,195.0,PUT,5,3958
2026-09-18,200.0,CALL,5,4098
2026-09-18,200.0,PUT,5,10921
2026-09-18,205.0,CALL,5,783
2026-09-18,205.0,PUT,5,2122
2026-09-18,210.0,CALL,5,3663
2026-09-18,210.0,PUT,5,5346
2026-09-18,215.0,CALL,5,722
2026-09-18,215.0,PUT,5,3408
2026-09-18,217.5,CALL,5,202
2026-09-18,217.5,PUT,5,587
2026-09-18,220.0,CALL,5,3430
2026-09-18,220.0,PUT,5,3926
2026-09-18,222.5,CALL,5,849
2026-09-18,222.5,PUT,5,428
2026-09-18,225.0,CALL,5,2097
2026-09-18,225.0,PUT,5,709
2026-09-18,227.5,CALL,5,585
2026-09-18,227.5,PUT,5,677
2026-09-18,230.0,CALL,5,4247
2026-09-18,230.0,PUT,5,6930
2026-09-18,232.5,CALL,5,903
2026-09-18,232.5,PUT,5,165
2026-09-18,235.0,CALL,5,2010
2026-09-18,235.0,PUT,5,523
2026-09-18,237.5,CALL,5,881
