expiration,strike,option_type,DTE,openInterest
2026-09-18,5.0,CALL,4,1333.0
2026-09-18,5.0,PUT,4,13607.0
2026-09-18,10.0,CALL,4,4.0
2026-09-18,10.0,PUT,4,2970.0
2026-09-18,12.5,PUT,4,96.0
2026-09-18,15.0,CALL,4,1.0
2026-09-18,15.0,PUT,4,1170.0
2026-09-18,17.5,PUT,4,13.0
2026-09-18,20.0,PUT,4,6004.0
2026-09-18,22.5,PUT,4,332.0
2026-09-18,25.0,CALL,4,10.0
2026-09-18,25.0,PUT,4,908.0
2026-09-18,30.0,CALL,4,6.0
2026-09-18,30.0,PUT,4,4609.0
2026-09-18,35.0,CALL,4,2.0
2026-09-18,35.0,PUT,4,9798.0
2026-09-18,40.0,CALL,4,5986.0
2026-09-18,40.0,PUT,4,4372.0
2026-09-18,45.0,CALL,4,9.0
2026-09-18,45.0,PUT,4,4257.0
2026-09-18,50.0,CALL,4,51.0
2026-09-18,50.0,PUT,4,15556.0
2026-09-18,55.0,CALL,4,23.0
2026-09-18,55.0,PUT,4,6565.0
2026-09-18,60.0,CALL,4,69.0
2026-09-18,60.0,PUT,4,19446.0
2026-09-18,65.0,CALL,4,48.0
2026-09-18,65.0,PUT,4,8843.0
2026-09-18,70.0,CALL,4,93.0
2026-09-18,70.0,PUT,4,14384.0
2026-09-18,75.0,CALL,4,50.0
2026-09-18,75.0,PUT,4,6070.0
2026-09-18,80.0,CALL,4,735.0
2026-09-18,80.0,PUT,4,30489.0
2026-09-18,85.0,CALL,4,284.0
2026-09-18,85.0,PUT,4,10419.0
2026-09-18,90.0,CALL,4,1311.0
2026-09-18,90.0,PUT,4,7109.0
2026-09-18,95.0,CALL,4,1597.0
2026-09-18,95.0,PUT,4,5976.0
2026-09-18,100.0,CALL,4,27452.0
2026-09-18,100.0,PUT,4,12635.0
2026-09-18,105.0,CALL,4,4670.0
2026-09-18,105.0,PUT,4,9996.0
2026-09-18,106.0,CALL,4,60.0
2026-09-18,106.0,PUT,4,400.0
2026-09-18,107.0,CALL,4,47.0
2026-09-18,107.0,PUT,4,323.0
2026-09-18,108.0,CALL,4,66.0
2026-09-18,108.0,PUT,4,454.0
2026-09-18,109.0,CALL,4,69.0
2026-09-18,109.0,PUT,4,412.0
2026-09-18,110.0,CALL,4,3381.0
2026-09-18,110.0,PUT,4,4520.0
2026-09-18,111.0,CALL,4,149.0
2026-09-18,111.0,PUT,4,149.0
2026-09-18,112.0,CALL,4,185.0
2026-09-18,112.0,PUT,4,143.0
2026-09-18,113.0,CALL,4,15.0
2026-09-18,113.0,PUT,4,425.0
2026-09-18,114.0,CALL,4,79.0
2026-09-18,114.0,PUT,4,464.0
2026-09-18,115.0,CALL,4,6360.0
2026-09-18,115.0,PUT,4,4282.0
2026-09-18,116.0,CALL,4,53.0
2026-09-18,116.0,PUT,4,502.0
2026-09-18,117.0,CALL,4,127.0
2026-09-18,117.0,PUT,4,630.0
2026-09-18,118.0,CALL,4,57.0
2026-09-18,118.0,PUT,4,614.0
2026-09-18,119.0,CALL,4,46.0
2026-09-18,119.0,PUT,4,2859.0
2026-09-18,120.0,CALL,4,3932.0
2026-09-18,120.0,PUT,4,8782.0
2026-09-18,121.0,CALL,4,31.0
2026-09-18,121.0,PUT,4,1314.0
2026-09-18,122.0,CALL,4,190.0
2026-09-18,122.0,PUT,4,677.0
2026-09-18,123.0,CALL,4,118.0
2026-09-18,123.0,PUT,4,4777.0
2026-09-18,124.0,CALL,4,136.0
2026-09-18,124.0,PUT,4,3116.0
2026-09-18,125.0,CALL,4,12001.0
2026-09-18,125.0,PUT,4,8456.0
2026-09-18,126.0,CALL,4,256.0
2026-09-18,126.0,PUT,4,958.0
2026-09-18,127.0,CALL,4,469.0
2026-09-18,127.0,PUT,4,1017.0
2026-09-18,128.0,CALL,4,832.0
2026-09-18,128.0,PUT,4,808.0
2026-09-18,129.0,CALL,4,294.0
2026-09-18,129.0,PUT,4,932.0
2026-09-18,130.0,CALL,4,9648.0
2026-09-18,130.0,PUT,4,4435.0
2026-09-18,131.0,CALL,4,1509.0
2026-09-18,131.0,PUT,4,3092.0
2026-09-18,132.0,CALL,4,2956.0
2026-09-18,132.0,PUT,4,863.0
2026-09-18,133.0,CALL,4,2533.0
2026-09-18,133.0,PUT,4,602.0
2026-09-18,134.0,CALL,4,4065.0
2026-09-18,134.0,PUT,4,239.0
2026-09-18,135.0,CALL,4,22476.0
2026-09-18,135.0,PUT,4,3266.0
2026-09-18,136.0,CALL,4,11240.0
2026-09-18,136.0,PUT,4,247.0
2026-09-18,137.0,CALL,4,426.0
2026-09-18,137.0,PUT,4,148.0
2026-09-18,138.0,CALL,4,15271.0
2026-09-18,138.0,PUT,4,67.0
2026-09-18,139.0,CALL,4,21194.0
2026-09-18,139.0,PUT,4,35.0
2026-09-18,140.0,CALL,4,25054.0
2026-09-18,140.0,PUT,4,5564.0
2026-09-18,141.0,CALL,4,17459.0
2026-09-18,141.0,PUT,4,210.0
2026-09-18,142.0,CALL,4,12957.0
2026-09-18,142.0,PUT,4,15.0
2026-09-18,143.0,CALL,4,10447.0
2026-09-18,143.0,PUT,4,2.0
2026-09-18,144.0,CALL,4,5364.0
2026-09-18,144.0,PUT,4,34.0
2026-09-18,145.0,CALL,4,26290.0
2026-09-18,145.0,PUT,4,3991.0
2026-09-18,146.0,CALL,4,7235.0
2026-09-18,146.0,PUT,4,3.0
2026-09-18,147.0,CALL,4,341.0
2026-09-18,148.0,CALL,4,229.0
2026-09-18,148.0,PUT,4,50.0
2026-09-18,149.0,CALL,4,278.0
2026-09-18,149.0,PUT,4,5.0
2026-09-18,150.0,CALL,4,16313.0
2026-09-18,150.0,PUT,4,3198.0
2026-09-18,152.5,CALL,4,435.0
2026-09-18,152.5,PUT,4,21.0
2026-09-18,155.0,CALL,4,2974.0
2026-09-18,155.0,PUT,4,1191.0
2026-09-18,157.5,CALL,4,210.0
2026-09-18,160.0,CALL,4,3829.0
2026-09-18,160.0,PUT,4,792.0
2026-09-18,162.5,CALL,4,49.0
2026-09-18,165.0,CALL,4,4624.0
2026-09-18,165.0,PUT,4,998.0
2026-09-18,167.5,CALL,4,98.0
2026-09-18,170.0,CALL,4,5228.0
2026-09-18,170.0,PUT,4,448.0
2026-09-18,172.5,CALL,4,28.0
2026-09-18,175.0,CALL,4,3673.0
2026-09-18,175.0,PUT,4,50.0
2026-09-18,177.5,CALL,4,91.0
2026-09-18,177.5,PUT,4,1.0
2026-09-18,180.0,CALL,4,6781.0
2026-09-18,180.0,PUT,4,708.0
2026-09-18,182.5,CALL,4,88.0
2026-09-18,185.0,CALL,4,1944.0
2026-09-18,185.0,PUT,4,105.0
2026-09-18,187.5,CALL,4,4.0
2026-09-18,190.0,CALL,4,2349.0
2026-09-18,190.0,PUT,4,101.0
2026-09-18,195.0,CALL,4,1561.0
2026-09-18,195.0,PUT,4,56.0
2026-09-18,200.0,CALL,4,22993.0
2026-09-18,200.0,PUT,4,382.0
2026-09-18,205.0,CALL,4,996.0
2026-09-18,205.0,PUT,4,0.0
2026-09-18,210.0,CALL,4,2850.0
2026-09-18,210.0,PUT,4,6.0
2026-09-18,215.0,CALL,4,742.0
2026-09-18,215.0,PUT,4,0.0
2026-09-18,220.0,CALL,4,5109.0
2026-09-18,220.0,PUT,4,39.0
2026-09-18,225.0,CALL,4,1783.0
2026-09-18,225.0,PUT,4,0.0
2026-09-18,230.0,CALL,4,3367.0
2026-09-18,230.0,PUT,4,2.0
2026-09-18,235.0,CALL,4,490.0
2026-09-18,235.0,PUT,4,0.0
2026-09-18,240.0,CALL,4,1700.0
2026-09-18,240.0,PUT,4,1.0
2026-09-18,245.0,CALL,4,442.0
2026-09-18,245.0,PUT,4,0.0
2026-09-18,250.0,CALL,4,3353.0
2026-09-18,250.0,PUT,4,8.0
2026-09-18,255.0,CALL,4,288.0
2026-09-18,260.0,CALL,4,3528.0
2026-09-18,260.0,PUT,4,1.0
2026-09-18,265.0,CALL,4,13.0
2026-09-18,270.0,CALL,4,981.0
2026-09-18,270.0,PUT,4,1.0
2026-09-18,275.0,CALL,4,22.0
2026-09-18,280.0,CALL,4,6745.0
2026-09-18,280.0,PUT,4,104.0
2026-09-18,290.0,CALL,4,1108.0
2026-09-18,290.0,PUT,4,36.0
2026-09-18,300.0,CALL,4,5942.0
2026-09-18,300.0,PUT,4,75.0
2026-09-18,310.0,CALL,4,3403.0
2026-09-18,310.0,PUT,4,50.0
2026-09-18,320.0,CALL,4,1437.0
2026-09-18,320.0,PUT,4,8.0
2026-09-18,330.0,CALL,4,1661.0
2026-09-18,330.0,PUT,4,2.0
2026-09-18,340.0,CALL,4,525.0
2026-09-18,340.0,PUT,4,0.0
2026-09-18,350.0,CALL,4,3830.0
2026-09-18,350.0,PUT,4,0.0
2026-09-18,360.0,CALL,4,412.0
2026-09-18,360.0,PUT,4,3.0
2026-09-18,370.0,CALL,4,706.0
2026-09-18,370.0,PUT,4,0.0
2026-09-18,380.0,CALL,4,443.0
2026-09-18,380.0,PUT,4,0.0
2026-09-18,390.0,CALL,4,254.0
2026-09-18,390.0,PUT,4,0.0
2026-09-18,400.0,CALL,4,3234.0
2026-09-18,400.0,PUT,4,0.0
2026-09-18,410.0,CALL,4,321.0
2026-09-18,410.0,PUT,4,0.0
2026-09-18,420.0,CALL,4,2384.0
2026-09-18,420.0,PUT,4,0.0
2026-09-18,430.0,CALL,4,488.0
2026-09-18,430.0,PUT,4,0.0
2026-09-18,440.0,CALL,4,2508.0
2026-09-18,440.0,PUT,4,0.0
2026-09-18,450.0,CALL,4,622.0
2026-09-18,450.0,PUT,4,0.0
2026-09-18,460.0,CALL,4,447.0
2026-09-18,460.0,PUT,4,7.0
2026-09-18,470.0,CALL,4,520.0
2026-09-18,470.0,PUT,4,0.0
2026-09-18,480.0,CALL,4,667.0
2026-09-18,480.0,PUT,4,0.0
2026-09-18,490.0,CALL,4,454.0
2026-09-18,490.0,PUT,4,0.0
2026-09-18,500.0,CALL,4,4572.0
2026-09-18,500.0,PUT,4,0.0
2026-09-18,510.0,CALL,4,4009.0
2026-09-18,510.0,PUT,4,0.0
2026-09-18,520.0,CALL,4,353.0
2026-09-18,520.0,PUT,4,0.0
2026-09-18,530.0,CALL,4,468.0
2026-09-18,530.0,PUT,4,0.0
2026-09-18,540.0,CALL,4,2647.0
2026-09-18,540.0,PUT,4,0.0
2026-09-18,550.0,CALL,4,1306.0
2026-09-18,550.0,PUT,4,0.0
2026-09-18,560.0,CALL,4,1851.0
2026-09-18,560.0,PUT,4,0.0
2026-09-18,570.0,CALL,4,2141.0
2026-09-18,570.0,PUT,4,0.0
2026-09-18,580.0,CALL,4,759.0
2026-09-18,580.0,PUT,4,0.0
2026-09-18,590.0,CALL,4,5691.0
2026-09-18,590.0,PUT,4,0.0
2026-09-18,600.0,CALL,4,1592.0
2026-09-18,600.0,PUT,4,0.0
2026-09-18,610.0,CALL,4,538.0
2026-09-18,610.0,PUT,4,0.0
2026-09-18,620.0,CALL,4,152.0
2026-09-18,620.0,PUT,4,0.0
2026-09-18,630.0,CALL,4,589.0
2026-09-18,630.0,PUT,4,0.0
2026-09-18,640.0,CALL,4,330.0
