expiration,strike,option_type,DTE,openInterest
2026-09-18,7.0,CALL,4,1.0
2026-09-18,8.0,CALL,4,3.0
2026-09-18,9.0,CALL,4,1.0
2026-09-18,10.0,CALL,4,6.0
2026-09-18,10.0,PUT,4,425.0
2026-09-18,11.0,CALL,4,5.0
2026-09-18,11.0,PUT,4,50.0
2026-09-18,12.0,PUT,4,335.0
2026-09-18,13.0,CALL,4,35.0
2026-09-18,13.0,PUT,4,435.0
2026-09-18,14.0,CALL,4,5.0
2026-09-18,14.0,PUT,4,91.0
2026-09-18,15.0,CALL,4,67.0
2026-09-18,15.0,PUT,4,922.0
2026-09-18,16.0,CALL,4,94.0
2026-09-18,16.0,PUT,4,1403.0
2026-09-18,16.5,CALL,4,18.0
2026-09-18,16.5,PUT,4,583.0
2026-09-18,17.0,CALL,4,216.0
2026-09-18,17.0,PUT,4,1250.0
2026-09-18,17.5,CALL,4,359.0
2026-09-18,17.5,PUT,4,201.0
2026-09-18,18.0,CALL,4,1576.0
2026-09-18,18.0,PUT,4,835.0
2026-09-18,18.5,CALL,4,620.0
2026-09-18,18.5,PUT,4,321.0
2026-09-18,19.0,CALL,4,1233.0
2026-09-18,19.0,PUT,4,349.0
2026-09-18,19.5,CALL,4,157.0
2026-09-18,19.5,PUT,4,115.0
2026-09-18,20.0,CALL,4,1827.0
2026-09-18,20.0,PUT,4,975.0
2026-09-18,20.5,CALL,4,144.0
2026-09-18,20.5,PUT,4,338.0
2026-09-18,21.0,CALL,4,386.0
2026-09-18,21.0,PUT,4,779.0
2026-09-18,21.5,CALL,4,53.0
2026-09-18,21.5,PUT,4,320.0
2026-09-18,22.0,CALL,4,835.0
2026-09-18,22.0,PUT,4,1250.0
2026-09-18,22.5,CALL,4,55.0
2026-09-18,22.5,PUT,4,27.0
2026-09-18,23.0,CALL,4,1127.0
2026-09-18,23.0,PUT,4,820.0
2026-09-18,23.5,CALL,4,48.0
2026-09-18,23.5,PUT,4,6.0
2026-09-18,24.0,CALL,4,17396.0
2026-09-18,24.0,PUT,4,159.0
2026-09-18,24.5,CALL,4,63.0
2026-09-18,24.5,PUT,4,2.0
2026-09-18,25.0,CALL,4,1750.0
2026-09-18,25.0,PUT,4,47.0
2026-09-18,25.5,CALL,4,81.0
2026-09-18,25.5,PUT,4,13.0
2026-09-18,26.0,CALL,4,1083.0
2026-09-18,26.0,PUT,4,184.0
2026-09-18,26.5,CALL,4,33.0
2026-09-18,26.5,PUT,4,3.0
2026-09-18,27.0,CALL,4,825.0
2026-09-18,27.0,PUT,4,7.0
2026-09-18,27.5,CALL,4,28.0
2026-09-18,27.5,PUT,4,2.0
2026-09-18,28.0,CALL,4,696.0
2026-09-18,28.0,PUT,4,86.0
2026-09-18,29.0,CALL,4,2044.0
2026-09-18,29.0,PUT,4,191.0
2026-09-18,30.0,CALL,4,1193.0
2026-09-18,30.0,PUT,4,54.0
2026-09-18,31.0,CALL,4,640.0
2026-09-18,31.0,PUT,4,16.0
2026-09-18,32.0,CALL,4,803.0
