expiration,strike,option_type,DTE,openInterest
2026-09-18,50.0,CALL,1,35
2026-09-18,50.0,PUT,1,4
2026-09-18,55.0,PUT,1,14
2026-09-18,60.0,CALL,1,2
2026-09-18,60.0,PUT,1,18
2026-09-18,65.0,CALL,1,12
2026-09-18,65.0,PUT,1,40
2026-09-18,68.0,CALL,1,10
2026-09-18,68.0,PUT,1,40
2026-09-18,69.0,CALL,1,6
2026-09-18,69.0,PUT,1,8
2026-09-18,70.0,CALL,1,46
2026-09-18,70.0,PUT,1,127
2026-09-18,71.0,CALL,1,11
2026-09-18,71.0,PUT,1,38
2026-09-18,72.0,CALL,1,15
2026-09-18,72.0,PUT,1,57
2026-09-18,73.0,CALL,1,53
2026-09-18,73.0,PUT,1,149
2026-09-18,74.0,CALL,1,80
2026-09-18,74.0,PUT,1,21
2026-09-18,75.0,CALL,1,47
2026-09-18,75.0,PUT,1,16
2026-09-18,76.0,CALL,1,24
2026-09-18,76.0,PUT,1,4
2026-09-18,77.0,CALL,1,25
2026-09-18,77.0,PUT,1,1
2026-09-18,78.0,CALL,1,22
2026-09-18,78.0,PUT,1,1
2026-09-18,79.0,CALL,1,20
2026-09-18,79.0,PUT,1,1
2026-09-18,80.0,CALL,1,170
2026-09-18,80.0,PUT,1,0
2026-09-18,81.0,CALL,1,37
2026-09-18,81.0,PUT,1,0
2026-09-18,82.0,CALL,1,8
2026-09-18,82.0,PUT,1,0
2026-09-18,83.0,CALL,1,37
2026-09-18,83.0,PUT,1,0
2026-09-18,84.0,CALL,1,32
2026-09-18,85.0,CALL,1,132
2026-09-18,85.0,PUT,1,0
2026-09-18,86.0,CALL,1,12
2026-09-18,87.0,CALL,1,9
2026-09-18,88.0,CALL,1,6
2026-09-18,89.0,CALL,1,8
2026-09-18,90.0,CALL,1,40
2026-09-18,90.0,PUT,1,0
2026-09-18,95.0,CALL,1,16
2026-09-18,100.0,CALL,1,7
2026-09-18,100.0,PUT,1,0
2026-10-16,60.0,PUT,29,31
2026-10-16,65.0,CALL,29,10
2026-10-16,65.0,PUT,29,31
2026-10-16,67.0,PUT,29,5
2026-10-16,68.0,PUT,29,55
2026-10-16,69.0,PUT,29,13
2026-10-16,70.0,PUT,29,9
2026-10-16,71.0,PUT,29,3
2026-10-16,72.0,PUT,29,165
2026-10-16,73.0,PUT,29,20
2026-10-16,74.0,PUT,29,19
2026-10-16,75.0,CALL,29,82
2026-10-16,75.0,PUT,29,9
2026-10-16,76.0,CALL,29,28
2026-10-16,76.0,PUT,29,5
2026-10-16,77.0,CALL,29,9
2026-10-16,77.0,PUT,29,4
2026-10-16,78.0,CALL,29,11
2026-10-16,78.0,PUT,29,2
2026-10-16,79.0,CALL,29,2
2026-10-16,80.0,CALL,29,80
2026-10-16,80.0,PUT,29,29
2026-10-16,81.0,CALL,29,9
2026-10-16,82.0,CALL,29,40
2026-10-16,82.0,PUT,29,8
2026-10-16,83.0,CALL,29,2
2026-10-16,83.0,PUT,29,1
2026-10-16,84.0,CALL,29,38
2026-10-16,85.0,CALL,29,23
2026-10-16,85.0,PUT,29,1
2026-10-16,86.0,CALL,29,2
2026-10-16,87.0,CALL,29,2
2026-10-16,90.0,CALL,29,15
2026-10-16,95.0,CALL,29,15
2026-11-20,40.0,PUT,64,21
2026-11-20,45.0,PUT,64,148
2026-11-20,50.0,CALL,64,3
2026-11-20,50.0,PUT,64,66
2026-11-20,55.0,PUT,64,328
2026-11-20,60.0,CALL,64,26
2026-11-20,60.0,PUT,64,37
2026-11-20,65.0,CALL,64,3
2026-11-20,65.0,PUT,64,171
2026-11-20,70.0,CALL,64,39
2026-11-20,70.0,PUT,64,85
2026-11-20,75.0,CALL,64,30
2026-11-20,75.0,PUT,64,87
2026-11-20,76.0,CALL,64,1
2026-11-20,76.0,PUT,64,1
2026-11-20,77.0,CALL,64,28
2026-11-20,77.0,PUT,64,7
2026-11-20,78.0,CALL,64,14
2026-11-20,78.0,PUT,64,26
2026-11-20,79.0,CALL,64,56
2026-11-20,79.0,PUT,64,1
2026-11-20,80.0,CALL,64,71
2026-11-20,80.0,PUT,64,390
2026-11-20,81.0,CALL,64,6
2026-11-20,81.0,PUT,64,4
2026-11-20,82.0,CALL,64,3
2026-11-20,82.0,PUT,64,7
2026-11-20,83.0,CALL,64,2
2026-11-20,83.0,PUT,64,3
2026-11-20,84.0,CALL,64,10
2026-11-20,84.0,PUT,64,1
2026-11-20,85.0,CALL,64,72
2026-11-20,85.0,PUT,64,70
2026-11-20,86.0,CALL,64,3
2026-11-20,86.0,PUT,64,7
2026-11-20,87.0,CALL,64,2
2026-11-20,88.0,CALL,64,24
2026-11-20,88.0,PUT,64,1
2026-11-20,89.0,CALL,64,50
2026-11-20,89.0,PUT,64,10
2026-11-20,90.0,CALL,64,88
2026-11-20,90.0,PUT,64,139
2026-11-20,91.0,CALL,64,36
2026-11-20,91.0,PUT,64,5
2026-11-20,92.0,CALL,64,9
2026-11-20,92.0,PUT,64,4
2026-11-20,93.0,CALL,64,6
2026-11-20,93.0,PUT,64,4
2026-11-20,94.0,CALL,64,6
2026-11-20,94.0,PUT,64,5
2026-11-20,95.0,CALL,64,37
2026-11-20,95.0,PUT,64,4
2026-11-20,96.0,CALL,64,3
2026-11-20,96.0,PUT,64,2
2026-11-20,97.0,CALL,64,6
2026-11-20,97.0,PUT,64,18
2026-11-20,98.0,CALL,64,4
2026-11-20,98.0,PUT,64,21
2026-11-20,99.0,CALL,64,2
2026-11-20,99.0,PUT,64,17
2026-11-20,100.0,CALL,64,80
2026-11-20,100.0,PUT,64,274
2026-11-20,105.0,CALL,64,114
2026-11-20,105.0,PUT,64,32
2026-11-20,110.0,CALL,64,131
2026-11-20,110.0,PUT,64,57
2026-11-20,115.0,CALL,64,66
2026-11-20,115.0,PUT,64,0
2026-11-20,120.0,CALL,64,69
2026-11-20,120.0,PUT,64,0
2026-11-20,125.0,CALL,64,8
2026-11-20,130.0,CALL,64,0
2026-11-20,130.0,PUT,64,0
2026-11-20,135.0,CALL,64,10
2026-11-20,135.0,PUT,64,0
2026-11-20,145.0,CALL,64,3
2026-11-20,150.0,CALL,64,15
2026-11-20,150.0,PUT,64,0
2026-11-20,155.0,CALL,64,5
2026-12-18,40.0,CALL,92,7
2026-12-18,40.0,PUT,92,46
2026-12-18,45.0,CALL,92,5
2026-12-18,45.0,PUT,92,58
2026-12-18,50.0,CALL,92,14
2026-12-18,50.0,PUT,92,1157
2026-12-18,55.0,CALL,92,4
2026-12-18,55.0,PUT,92,6
2026-12-18,60.0,CALL,92,52
2026-12-18,60.0,PUT,92,13
2026-12-18,65.0,CALL,92,23
2026-12-18,65.0,PUT,92,40
2026-12-18,70.0,CALL,92,55
2026-12-18,70.0,PUT,92,191
2026-12-18,71.0,PUT,92,1
2026-12-18,72.0,CALL,92,8
2026-12-18,72.0,PUT,92,1
2026-12-18,73.0,CALL,92,17
2026-12-18,73.0,PUT,92,4
2026-12-18,74.0,CALL,92,8
2026-12-18,74.0,PUT,92,2
2026-12-18,75.0,CALL,92,68
2026-12-18,75.0,PUT,92,50
2026-12-18,76.0,CALL,92,31
2026-12-18,76.0,PUT,92,10
2026-12-18,77.0,CALL,92,15
2026-12-18,77.0,PUT,92,21
2026-12-18,78.0,CALL,92,24
