expiration,strike,option_type,DTE,openInterest
2026-09-18,35.0,CALL,4,37.0
2026-09-18,35.0,PUT,4,3246.0
2026-09-18,40.0,CALL,4,77.0
2026-09-18,40.0,PUT,4,16890.0
2026-09-18,45.0,CALL,4,41.0
2026-09-18,45.0,PUT,4,7366.0
2026-09-18,50.0,CALL,4,340.0
2026-09-18,50.0,PUT,4,3844.0
2026-09-18,55.0,CALL,4,588.0
2026-09-18,55.0,PUT,4,6037.0
2026-09-18,57.0,CALL,4,1.0
2026-09-18,57.0,PUT,4,833.0
2026-09-18,58.0,CALL,4,2.0
2026-09-18,58.0,PUT,4,238.0
2026-09-18,59.0,CALL,4,3.0
2026-09-18,59.0,PUT,4,243.0
2026-09-18,60.0,CALL,4,563.0
2026-09-18,60.0,PUT,4,6150.0
2026-09-18,61.0,CALL,4,265.0
2026-09-18,61.0,PUT,4,1255.0
2026-09-18,62.0,CALL,4,213.0
2026-09-18,62.0,PUT,4,1525.0
2026-09-18,63.0,CALL,4,1765.0
2026-09-18,63.0,PUT,4,1970.0
2026-09-18,64.0,CALL,4,1330.0
2026-09-18,64.0,PUT,4,752.0
2026-09-18,65.0,CALL,4,4228.0
2026-09-18,65.0,PUT,4,5301.0
2026-09-18,66.0,CALL,4,941.0
2026-09-18,66.0,PUT,4,614.0
2026-09-18,67.0,CALL,4,2480.0
2026-09-18,67.0,PUT,4,547.0
2026-09-18,68.0,CALL,4,1665.0
2026-09-18,68.0,PUT,4,326.0
2026-09-18,69.0,CALL,4,954.0
2026-09-18,69.0,PUT,4,300.0
2026-09-18,70.0,CALL,4,9248.0
2026-09-18,70.0,PUT,4,3159.0
2026-09-18,71.0,CALL,4,1239.0
2026-09-18,71.0,PUT,4,73.0
2026-09-18,72.0,CALL,4,1896.0
2026-09-18,72.0,PUT,4,50.0
2026-09-18,73.0,CALL,4,761.0
2026-09-18,73.0,PUT,4,52.0
2026-09-18,74.0,CALL,4,662.0
2026-09-18,74.0,PUT,4,25.0
2026-09-18,75.0,CALL,4,5241.0
2026-09-18,75.0,PUT,4,2408.0
2026-09-18,76.0,CALL,4,411.0
2026-09-18,76.0,PUT,4,77.0
2026-09-18,77.0,CALL,4,286.0
2026-09-18,77.0,PUT,4,24.0
2026-09-18,78.0,CALL,4,385.0
2026-09-18,78.0,PUT,4,20.0
2026-09-18,79.0,CALL,4,222.0
2026-09-18,79.0,PUT,4,23.0
2026-09-18,80.0,CALL,4,6757.0
2026-09-18,80.0,PUT,4,2130.0
2026-09-18,81.0,CALL,4,143.0
2026-09-18,81.0,PUT,4,45.0
2026-09-18,82.0,CALL,4,309.0
2026-09-18,82.0,PUT,4,22.0
2026-09-18,83.0,CALL,4,243.0
2026-09-18,83.0,PUT,4,6.0
2026-09-18,84.0,CALL,4,271.0
2026-09-18,84.0,PUT,4,1.0
2026-09-18,85.0,CALL,4,3140.0
2026-09-18,85.0,PUT,4,1351.0
2026-09-18,90.0,CALL,4,4552.0
2026-09-18,90.0,PUT,4,1793.0
2026-09-18,95.0,CALL,4,2961.0
2026-09-18,95.0,PUT,4,208.0
2026-09-18,100.0,CALL,4,9179.0
2026-09-18,100.0,PUT,4,208.0
2026-09-18,105.0,CALL,4,1658.0
2026-09-18,105.0,PUT,4,70.0
2026-09-18,110.0,CALL,4,2418.0
2026-09-18,110.0,PUT,4,68.0
2026-09-18,115.0,CALL,4,783.0
2026-09-18,115.0,PUT,4,0.0
2026-09-18,120.0,CALL,4,8506.0
2026-09-18,120.0,PUT,4,0.0
2026-09-18,125.0,CALL,4,1465.0
2026-09-18,125.0,PUT,4,0.0
2026-09-18,130.0,CALL,4,2045.0
2026-09-18,130.0,PUT,4,0.0
2026-09-18,135.0,CALL,4,2324.0
2026-09-18,135.0,PUT,4,0.0
2026-09-18,140.0,CALL,4,3793.0
2026-09-18,140.0,PUT,4,2.0
2026-09-18,145.0,CALL,4,536.0
2026-09-18,145.0,PUT,4,0.0
2026-09-18,150.0,CALL,4,4936.0
2026-09-18,150.0,PUT,4,0.0
2026-09-18,155.0,CALL,4,1486.0
2026-09-18,155.0,PUT,4,0.0
2026-09-18,160.0,CALL,4,732.0
2026-09-18,160.0,PUT,4,0.0
2026-09-18,165.0,CALL,4,242.0
2026-09-18,170.0,CALL,4,569.0
2026-09-18,170.0,PUT,4,0.0
2026-09-18,175.0,CALL,4,574.0
2026-09-18,175.0,PUT,4,0.0
2026-09-18,180.0,CALL,4,611.0
2026-09-18,185.0,CALL,4,623.0
2026-09-18,185.0,PUT,4,0.0
2026-09-18,190.0,CALL,4,945.0
2026-09-18,195.0,CALL,4,286.0
2026-09-18,195.0,PUT,4,0.0
2026-09-18,200.0,CALL,4,680.0
2026-09-18,200.0,PUT,4,0.0
2026-09-18,210.0,CALL,4,762.0
2026-09-25,40.0,CALL,11,20.0
2026-09-25,40.0,PUT,11,31.0
2026-09-25,45.0,CALL,11,11.0
2026-09-25,45.0,PUT,11,343.0
2026-09-25,50.0,CALL,11,7.0
2026-09-25,50.0,PUT,11,833.0
2026-09-25,51.0,CALL,11,1.0
2026-09-25,51.0,PUT,11,34.0
2026-09-25,52.0,PUT,11,49.0
2026-09-25,53.0,CALL,11,2.0
2026-09-25,53.0,PUT,11,104.0
2026-09-25,54.0,CALL,11,2.0
2026-09-25,54.0,PUT,11,376.0
2026-09-25,55.0,CALL,11,15.0
2026-09-25,55.0,PUT,11,1431.0
2026-09-25,56.0,CALL,11,6.0
2026-09-25,56.0,PUT,11,467.0
2026-09-25,57.0,CALL,11,3.0
2026-09-25,57.0,PUT,11,542.0
2026-09-25,58.0,CALL,11,3.0
2026-09-25,58.0,PUT,11,394.0
2026-09-25,59.0,CALL,11,7.0
2026-09-25,59.0,PUT,11,375.0
2026-09-25,60.0,CALL,11,320.0
2026-09-25,60.0,PUT,11,3311.0
2026-09-25,61.0,CALL,11,86.0
2026-09-25,61.0,PUT,11,232.0
2026-09-25,62.0,CALL,11,141.0
2026-09-25,62.0,PUT,11,307.0
2026-09-25,63.0,CALL,11,317.0
2026-09-25,63.0,PUT,11,1017.0
2026-09-25,64.0,CALL,11,820.0
2026-09-25,64.0,PUT,11,201.0
2026-09-25,65.0,CALL,11,1059.0
2026-09-25,65.0,PUT,11,2029.0
2026-09-25,66.0,CALL,11,395.0
2026-09-25,66.0,PUT,11,326.0
2026-09-25,67.0,CALL,11,215.0
2026-09-25,67.0,PUT,11,193.0
2026-09-25,68.0,CALL,11,428.0
2026-09-25,68.0,PUT,11,338.0
2026-09-25,69.0,CALL,11,1078.0
2026-09-25,69.0,PUT,11,91.0
2026-09-25,70.0,CALL,11,3621.0
2026-09-25,70.0,PUT,11,518.0
2026-09-25,71.0,CALL,11,565.0
2026-09-25,71.0,PUT,11,121.0
2026-09-25,72.0,CALL,11,499.0
2026-09-25,72.0,PUT,11,242.0
2026-09-25,73.0,CALL,11,515.0
2026-09-25,73.0,PUT,11,135.0
2026-09-25,74.0,CALL,11,768.0
2026-09-25,74.0,PUT,11,371.0
2026-09-25,75.0,CALL,11,1273.0
2026-09-25,75.0,PUT,11,299.0
2026-09-25,76.0,CALL,11,201.0
2026-09-25,76.0,PUT,11,578.0
2026-09-25,77.0,CALL,11,179.0
2026-09-25,77.0,PUT,11,288.0
2026-09-25,78.0,CALL,11,205.0
2026-09-25,78.0,PUT,11,59.0
2026-09-25,79.0,CALL,11,234.0
2026-09-25,79.0,PUT,11,120.0
2026-09-25,80.0,CALL,11,1285.0
2026-09-25,80.0,PUT,11,218.0
2026-09-25,81.0,CALL,11,100.0
2026-09-25,81.0,PUT,11,433.0
2026-09-25,82.0,CALL,11,243.0
2026-09-25,82.0,PUT,11,402.0
2026-09-25,83.0,CALL,11,242.0
2026-09-25,83.0,PUT,11,715.0
2026-09-25,84.0,CALL,11,230.0
2026-09-25,84.0,PUT,11,100.0
2026-09-25,85.0,CALL,11,572.0
2026-09-25,85.0,PUT,11,48.0
2026-09-25,86.0,CALL,11,262.0
2026-09-25,86.0,PUT,11,17.0
2026-09-25,87.0,CALL,11,468.0
2026-09-25,87.0,PUT,11,9.0
2026-09-25,88.0,CALL,11,256.0
