expiration,strike,option_type,DTE,openInterest
2026-10-16,32.5,CALL,23,3
2026-10-16,32.5,PUT,23,80
2026-10-16,35.0,CALL,23,12
2026-10-16,35.0,PUT,23,115
2026-10-16,37.5,CALL,23,0
2026-10-16,37.5,PUT,23,35
2026-10-16,40.0,CALL,23,1
2026-10-16,40.0,PUT,23,30
2026-10-16,42.5,PUT,23,107
2026-10-16,45.0,PUT,23,41
2026-10-16,47.5,CALL,23,0
2026-10-16,47.5,PUT,23,6
2026-10-16,50.0,CALL,23,30
2026-10-16,50.0,PUT,23,64
2026-10-16,52.5,CALL,23,22
2026-10-16,52.5,PUT,23,284
2026-10-16,55.0,CALL,23,15
2026-10-16,55.0,PUT,23,2119
2026-10-16,57.5,CALL,23,20
2026-10-16,57.5,PUT,23,73
2026-10-16,60.0,CALL,23,24
2026-10-16,60.0,PUT,23,600
2026-10-16,62.5,CALL,23,20
2026-10-16,62.5,PUT,23,58
2026-10-16,65.0,CALL,23,342
2026-10-16,65.0,PUT,23,54
2026-10-16,67.5,CALL,23,419
2026-10-16,67.5,PUT,23,26
2026-10-16,70.0,CALL,23,3078
2026-10-16,70.0,PUT,23,50
2026-10-16,72.5,CALL,23,101
2026-10-16,72.5,PUT,23,17
2026-10-16,75.0,CALL,23,1122
2026-10-16,75.0,PUT,23,13
2026-10-16,80.0,CALL,23,1428
2026-10-16,85.0,CALL,23,3488
2026-10-16,90.0,CALL,23,2056
2026-10-16,95.0,CALL,23,42
2026-11-20,22.5,PUT,58,1
2026-11-20,25.0,CALL,58,0
2026-11-20,25.0,PUT,58,24
2026-11-20,27.5,CALL,58,2
2026-11-20,27.5,PUT,58,224
2026-11-20,30.0,CALL,58,4
2026-11-20,30.0,PUT,58,166
2026-11-20,32.5,CALL,58,1
2026-11-20,32.5,PUT,58,160
2026-11-20,35.0,CALL,58,10
2026-11-20,35.0,PUT,58,247
2026-11-20,37.5,CALL,58,1
2026-11-20,37.5,PUT,58,95
2026-11-20,40.0,CALL,58,15
2026-11-20,40.0,PUT,58,316
2026-11-20,42.5,CALL,58,244
2026-11-20,42.5,PUT,58,681
2026-11-20,45.0,CALL,58,158
2026-11-20,45.0,PUT,58,292
2026-11-20,47.5,CALL,58,5
2026-11-20,47.5,PUT,58,43
2026-11-20,50.0,CALL,58,105
2026-11-20,50.0,PUT,58,447
2026-11-20,52.5,CALL,58,260
2026-11-20,52.5,PUT,58,51
2026-11-20,55.0,CALL,58,1340
2026-11-20,55.0,PUT,58,50
2026-11-20,57.5,CALL,58,136
2026-11-20,57.5,PUT,58,64
2026-11-20,60.0,CALL,58,470
2026-11-20,60.0,PUT,58,141
2026-11-20,62.5,CALL,58,55
2026-11-20,62.5,PUT,58,91
2026-11-20,65.0,CALL,58,147
