expiration,strike,option_type,DTE,openInterest
2026-09-11,25.0,CALL,0,1
2026-09-11,25.0,PUT,0,198
2026-09-11,30.0,PUT,0,91
2026-09-11,35.0,PUT,0,183
2026-09-11,40.0,PUT,0,205
2026-09-11,45.0,PUT,0,54
2026-09-11,50.0,PUT,0,150
2026-09-11,55.0,PUT,0,153
2026-09-11,60.0,PUT,0,86
2026-09-11,65.0,PUT,0,22
2026-09-11,70.0,PUT,0,17
2026-09-11,75.0,PUT,0,19
2026-09-11,80.0,CALL,0,2
2026-09-11,80.0,PUT,0,31
2026-09-11,85.0,PUT,0,64
2026-09-11,90.0,PUT,0,53
2026-09-11,95.0,PUT,0,325
2026-09-11,100.0,CALL,0,4
2026-09-11,100.0,PUT,0,1917
2026-09-11,105.0,CALL,0,1
2026-09-11,105.0,PUT,0,2002
2026-09-11,110.0,CALL,0,2
2026-09-11,110.0,PUT,0,2127
2026-09-11,115.0,CALL,0,2
2026-09-11,115.0,PUT,0,710
2026-09-11,117.0,PUT,0,398
2026-09-11,118.0,PUT,0,35
2026-09-11,119.0,PUT,0,985
2026-09-11,120.0,CALL,0,44
2026-09-11,120.0,PUT,0,1105
2026-09-11,121.0,PUT,0,132
2026-09-11,122.0,PUT,0,39
2026-09-11,123.0,CALL,0,101
2026-09-11,123.0,PUT,0,851
2026-09-11,124.0,PUT,0,62
2026-09-11,125.0,CALL,0,37
2026-09-11,125.0,PUT,0,453
2026-09-11,126.0,PUT,0,65
2026-09-11,127.0,CALL,0,90
2026-09-11,127.0,PUT,0,52
2026-09-11,128.0,PUT,0,66
2026-09-11,129.0,CALL,0,6
2026-09-11,129.0,PUT,0,90
2026-09-11,130.0,CALL,0,14
2026-09-11,130.0,PUT,0,764
2026-09-11,131.0,PUT,0,336
2026-09-11,132.0,CALL,0,8
2026-09-11,132.0,PUT,0,551
2026-09-11,133.0,CALL,0,3
2026-09-11,133.0,PUT,0,377
2026-09-11,134.0,CALL,0,6
2026-09-11,134.0,PUT,0,394
2026-09-11,135.0,CALL,0,73
2026-09-11,135.0,PUT,0,519
2026-09-11,136.0,CALL,0,6
2026-09-11,136.0,PUT,0,757
2026-09-11,137.0,CALL,0,34
2026-09-11,137.0,PUT,0,683
2026-09-11,138.0,CALL,0,27
2026-09-11,138.0,PUT,0,1272
2026-09-11,139.0,CALL,0,32
2026-09-11,139.0,PUT,0,861
2026-09-11,140.0,CALL,0,103
2026-09-11,140.0,PUT,0,1595
2026-09-11,141.0,CALL,0,10
2026-09-11,141.0,PUT,0,966
2026-09-11,142.0,CALL,0,11
2026-09-11,142.0,PUT,0,597
2026-09-11,143.0,CALL,0,14
2026-09-11,143.0,PUT,0,1016
2026-09-11,144.0,CALL,0,7
2026-09-11,144.0,PUT,0,2178
2026-09-11,145.0,CALL,0,57
2026-09-11,145.0,PUT,0,1425
2026-09-11,146.0,CALL,0,2
2026-09-11,146.0,PUT,0,460
2026-09-11,147.0,CALL,0,9
2026-09-11,147.0,PUT,0,314
2026-09-11,148.0,CALL,0,6
2026-09-11,148.0,PUT,0,694
2026-09-11,149.0,CALL,0,28
2026-09-11,149.0,PUT,0,486
2026-09-11,150.0,CALL,0,77
2026-09-11,150.0,PUT,0,2093
2026-09-11,152.5,CALL,0,22
2026-09-11,152.5,PUT,0,539
2026-09-11,155.0,CALL,0,78
2026-09-11,155.0,PUT,0,1393
2026-09-11,157.5,CALL,0,86
2026-09-11,157.5,PUT,0,382
2026-09-11,160.0,CALL,0,425
2026-09-11,160.0,PUT,0,1302
2026-09-11,162.5,CALL,0,241
2026-09-11,162.5,PUT,0,2762
2026-09-11,165.0,CALL,0,675
2026-09-11,165.0,PUT,0,540
2026-09-11,167.5,CALL,0,399
2026-09-11,167.5,PUT,0,1274
2026-09-11,170.0,CALL,0,2229
2026-09-11,170.0,PUT,0,1034
2026-09-11,172.5,CALL,0,618
2026-09-11,172.5,PUT,0,511
2026-09-11,175.0,CALL,0,1443
2026-09-11,175.0,PUT,0,1586
2026-09-11,177.5,CALL,0,280
2026-09-11,177.5,PUT,0,564
2026-09-11,180.0,CALL,0,1123
2026-09-11,180.0,PUT,0,2737
2026-09-11,182.5,CALL,0,644
2026-09-11,182.5,PUT,0,532
2026-09-11,185.0,CALL,0,1765
2026-09-11,185.0,PUT,0,2857
2026-09-11,187.5,CALL,0,666
2026-09-11,190.0,CALL,0,2292
2026-09-11,190.0,PUT,0,1879
2026-09-11,192.5,CALL,0,1017
2026-09-11,192.5,PUT,0,389
2026-09-11,195.0,CALL,0,5660
2026-09-11,197.5,CALL,0,795
2026-09-11,200.0,CALL,0,3688
2026-09-11,200.0,PUT,0,556
2026-09-11,202.5,CALL,0,717
2026-09-11,205.0,CALL,0,1677
2026-09-11,205.0,PUT,0,74
2026-09-11,207.5,CALL,0,696
2026-09-11,210.0,CALL,0,2437
2026-09-11,215.0,CALL,0,630
2026-09-11,220.0,CALL,0,1557
2026-09-11,225.0,CALL,0,283
2026-09-11,230.0,CALL,0,186
2026-09-11,235.0,CALL,0,235
2026-09-11,240.0,CALL,0,1174
2026-09-11,245.0,CALL,0,369
2026-09-11,250.0,CALL,0,334
2026-09-11,255.0,CALL,0,47
2026-09-11,260.0,CALL,0,128
2026-09-11,265.0,CALL,0,18
2026-09-11,270.0,CALL,0,23
2026-09-11,280.0,CALL,0,32
2026-09-11,295.0,CALL,0,25
2026-09-18,25.0,CALL,7,22
2026-09-18,25.0,PUT,7,38
2026-09-18,30.0,PUT,7,32
2026-09-18,35.0,PUT,7,48
2026-09-18,40.0,PUT,7,23
2026-09-18,45.0,CALL,7,1
2026-09-18,45.0,PUT,7,27
2026-09-18,50.0,CALL,7,17
2026-09-18,50.0,PUT,7,180
2026-09-18,55.0,CALL,7,0
2026-09-18,55.0,PUT,7,507
2026-09-18,60.0,PUT,7,260
2026-09-18,65.0,CALL,7,19
2026-09-18,65.0,PUT,7,3920
2026-09-18,70.0,CALL,7,2
2026-09-18,70.0,PUT,7,804
2026-09-18,75.0,CALL,7,1
2026-09-18,75.0,PUT,7,3755
2026-09-18,80.0,CALL,7,1
2026-09-18,80.0,PUT,7,1281
2026-09-18,85.0,CALL,7,55
2026-09-18,85.0,PUT,7,1941
2026-09-18,90.0,CALL,7,150
2026-09-18,90.0,PUT,7,2183
2026-09-18,95.0,CALL,7,8
2026-09-18,95.0,PUT,7,919
2026-09-18,100.0,CALL,7,214
2026-09-18,100.0,PUT,7,5879
2026-09-18,105.0,CALL,7,9
2026-09-18,105.0,PUT,7,4588
2026-09-18,110.0,CALL,7,984
2026-09-18,110.0,PUT,7,5608
2026-09-18,115.0,CALL,7,36
2026-09-18,115.0,PUT,7,2036
2026-09-18,120.0,CALL,7,369
2026-09-18,120.0,PUT,7,2649
2026-09-18,125.0,CALL,7,228
2026-09-18,125.0,PUT,7,1944
2026-09-18,130.0,CALL,7,623
2026-09-18,130.0,PUT,7,4544
2026-09-18,135.0,CALL,7,807
2026-09-18,135.0,PUT,7,5070
2026-09-18,140.0,CALL,7,1869
2026-09-18,140.0,PUT,7,7585
2026-09-18,145.0,CALL,7,454
2026-09-18,145.0,PUT,7,2233
2026-09-18,150.0,CALL,7,4410
2026-09-18,150.0,PUT,7,6138
2026-09-18,152.5,CALL,7,37
2026-09-18,152.5,PUT,7,611
2026-09-18,155.0,CALL,7,1818
2026-09-18,155.0,PUT,7,9077
2026-09-18,157.5,CALL,7,59
2026-09-18,157.5,PUT,7,8119
2026-09-18,160.0,CALL,7,6566
2026-09-18,160.0,PUT,7,5728
2026-09-18,162.5,CALL,7,119
2026-09-18,162.5,PUT,7,1687
2026-09-18,165.0,CALL,7,2186
2026-09-18,165.0,PUT,7,2591
2026-09-18,167.5,CALL,7,216
2026-09-18,167.5,PUT,7,344
2026-09-18,170.0,CALL,7,5974
2026-09-18,170.0,PUT,7,3399
2026-09-18,172.5,CALL,7,389
2026-09-18,172.5,PUT,7,206
2026-09-18,175.0,CALL,7,1459
2026-09-18,175.0,PUT,7,1374
2026-09-18,177.5,CALL,7,494
2026-09-18,177.5,PUT,7,642
2026-09-18,180.0,CALL,7,2710
2026-09-18,180.0,PUT,7,1427
2026-09-18,182.5,CALL,7,3248
2026-09-18,182.5,PUT,7,583
2026-09-18,185.0,CALL,7,8948
2026-09-18,185.0,PUT,7,1218
2026-09-18,187.5,CALL,7,285
2026-09-18,187.5,PUT,7,633
2026-09-18,190.0,CALL,7,7930
2026-09-18,190.0,PUT,7,1001
2026-09-18,195.0,CALL,7,2436
2026-09-18,195.0,PUT,7,654
2026-09-18,200.0,CALL,7,51277
2026-09-18,200.0,PUT,7,1268
2026-09-18,205.0,CALL,7,1325
2026-09-18,205.0,PUT,7,61
2026-09-18,210.0,CALL,7,1408
2026-09-18,210.0,PUT,7,97
2026-09-18,215.0,CALL,7,579
2026-09-18,215.0,PUT,7,30
2026-09-18,220.0,CALL,7,5577
2026-09-18,220.0,PUT,7,10
2026-09-18,225.0,CALL,7,871
2026-09-18,225.0,PUT,7,1
2026-09-18,230.0,CALL,7,369
2026-09-18,235.0,CALL,7,161
2026-09-18,235.0,PUT,7,1
2026-09-18,240.0,CALL,7,638
2026-09-18,240.0,PUT,7,5
2026-09-18,245.0,CALL,7,1078
2026-09-18,250.0,CALL,7,1781
2026-09-18,250.0,PUT,7,1
2026-09-18,255.0,CALL,7,472
2026-09-18,260.0,CALL,7,128
2026-09-18,260.0,PUT,7,0
2026-09-18,265.0,CALL,7,317
2026-09-18,270.0,CALL,7,389
2026-09-18,270.0,PUT,7,1
2026-09-18,275.0,CALL,7,436
2026-09-18,280.0,CALL,7,45
2026-09-18,285.0,CALL,7,15
2026-09-18,290.0,CALL,7,356
2026-09-18,295.0,CALL,7,64
2026-09-18,300.0,CALL,7,2257
2026-09-18,300.0,PUT,7,0
2026-09-18,305.0,CALL,7,58
2026-09-18,305.0,PUT,7,0
2026-09-18,310.0,CALL,7,18
2026-09-18,315.0,CALL,7,41
2026-09-18,320.0,CALL,7,88
2026-09-18,325.0,CALL,7,11
2026-09-18,330.0,CALL,7,33
2026-09-18,335.0,CALL,7,7
2026-09-18,340.0,CALL,7,7
2026-09-18,350.0,CALL,7,670
2026-09-18,355.0,CALL,7,2
2026-09-18,360.0,CALL,7,16
2026-09-18,370.0,CALL,7,11
2026-09-18,375.0,CALL,7,64
2026-09-18,380.0,CALL,7,5
2026-09-18,385.0,CALL,7,60
2026-09-18,390.0,CALL,7,592
2026-09-25,25.0,PUT,14,0
2026-09-25,30.0,PUT,14,0
2026-09-25,35.0,CALL,14,15
2026-09-25,55.0,CALL,14,3
2026-09-25,60.0,CALL,14,5
2026-09-25,60.0,PUT,14,2
2026-09-25,65.0,CALL,14,5
2026-09-25,65.0,PUT,14,6
2026-09-25,70.0,PUT,14,8
2026-09-25,75.0,PUT,14,62
2026-09-25,80.0,CALL,14,4
2026-09-25,80.0,PUT,14,215
2026-09-25,85.0,PUT,14,28
2026-09-25,90.0,CALL,14,16
2026-09-25,90.0,PUT,14,132
2026-09-25,95.0,PUT,14,127
2026-09-25,100.0,PUT,14,107
2026-09-25,105.0,CALL,14,5
2026-09-25,105.0,PUT,14,23576
2026-09-25,110.0,CALL,14,1
2026-09-25,110.0,PUT,14,279
2026-09-25,115.0,PUT,14,611
2026-09-25,120.0,CALL,14,30
2026-09-25,120.0,PUT,14,321
2026-09-25,125.0,CALL,14,11
2026-09-25,125.0,PUT,14,730
2026-09-25,130.0,CALL,14,4
2026-09-25,130.0,PUT,14,374
2026-09-25,132.0,CALL,14,2
2026-09-25,132.0,PUT,14,178
2026-09-25,133.0,CALL,14,125
2026-09-25,133.0,PUT,14,229
2026-09-25,134.0,CALL,14,9
2026-09-25,134.0,PUT,14,98
2026-09-25,135.0,CALL,14,55
2026-09-25,135.0,PUT,14,1154
2026-09-25,136.0,CALL,14,29
2026-09-25,136.0,PUT,14,75
2026-09-25,137.0,CALL,14,11
2026-09-25,137.0,PUT,14,90
2026-09-25,138.0,CALL,14,48
2026-09-25,138.0,PUT,14,109
2026-09-25,139.0,CALL,14,9
2026-09-25,139.0,PUT,14,61
2026-09-25,140.0,CALL,14,65
2026-09-25,140.0,PUT,14,377
2026-09-25,141.0,CALL,14,2
2026-09-25,141.0,PUT,14,41
2026-09-25,142.0,CALL,14,54
2026-09-25,142.0,PUT,14,25
2026-09-25,143.0,CALL,14,4
2026-09-25,143.0,PUT,14,24
2026-09-25,144.0,CALL,14,22
2026-09-25,144.0,PUT,14,79
2026-09-25,145.0,CALL,14,1075
2026-09-25,145.0,PUT,14,704
2026-09-25,146.0,CALL,14,10
2026-09-25,146.0,PUT,14,105
2026-09-25,147.0,CALL,14,19
2026-09-25,147.0,PUT,14,424
2026-09-25,148.0,CALL,14,172
2026-09-25,148.0,PUT,14,48
2026-09-25,149.0,CALL,14,181
2026-09-25,149.0,PUT,14,752
2026-09-25,150.0,CALL,14,3675
2026-09-25,150.0,PUT,14,1070
2026-09-25,152.5,CALL,14,158
2026-09-25,152.5,PUT,14,100
2026-09-25,155.0,CALL,14,374
2026-09-25,155.0,PUT,14,452
2026-09-25,157.5,CALL,14,29
2026-09-25,157.5,PUT,14,34
2026-09-25,160.0,CALL,14,170
2026-09-25,160.0,PUT,14,532
2026-09-25,162.5,CALL,14,140
2026-09-25,162.5,PUT,14,150
2026-09-25,165.0,CALL,14,232
2026-09-25,165.0,PUT,14,371
2026-09-25,167.5,CALL,14,131
2026-09-25,167.5,PUT,14,40
