expiration,strike,option_type,DTE,openInterest
2026-09-25,5.0,CALL,2,3.0
2026-09-25,5.0,PUT,2,4.0
2026-09-25,9.0,CALL,2,3.0
2026-09-25,9.0,PUT,2,15.0
2026-09-25,10.0,CALL,2,53.0
2026-09-25,10.0,PUT,2,53.0
2026-09-25,11.0,CALL,2,67.0
2026-09-25,11.0,PUT,2,6.0
2026-09-25,11.5,CALL,2,22.0
2026-09-25,11.5,PUT,2,21.0
2026-09-25,12.0,CALL,2,128.0
2026-09-25,12.0,PUT,2,681.0
2026-09-25,12.5,CALL,2,6.0
2026-09-25,12.5,PUT,2,39.0
2026-09-25,13.0,CALL,2,59.0
2026-09-25,13.0,PUT,2,522.0
2026-09-25,13.5,CALL,2,32.0
2026-09-25,13.5,PUT,2,2911.0
2026-09-25,14.0,CALL,2,423.0
2026-09-25,14.0,PUT,2,7769.0
2026-09-25,14.5,CALL,2,61.0
2026-09-25,14.5,PUT,2,1109.0
2026-09-25,15.0,CALL,2,696.0
2026-09-25,15.0,PUT,2,3940.0
2026-09-25,15.5,CALL,2,234.0
2026-09-25,15.5,PUT,2,4404.0
2026-09-25,16.0,CALL,2,1613.0
2026-09-25,16.0,PUT,2,12790.0
2026-09-25,16.5,CALL,2,3645.0
2026-09-25,16.5,PUT,2,21917.0
2026-09-25,17.0,CALL,2,19511.0
2026-09-25,17.0,PUT,2,25160.0
2026-09-25,17.5,CALL,2,28748.0
2026-09-25,17.5,PUT,2,7454.0
2026-09-25,18.0,CALL,2,26932.0
2026-09-25,18.0,PUT,2,3388.0
2026-09-25,18.5,CALL,2,16205.0
2026-09-25,18.5,PUT,2,1357.0
2026-09-25,19.0,CALL,2,17559.0
2026-09-25,19.0,PUT,2,1697.0
2026-09-25,19.5,CALL,2,6372.0
2026-09-25,19.5,PUT,2,107.0
2026-09-25,20.0,CALL,2,12236.0
2026-09-25,20.0,PUT,2,83.0
2026-09-25,20.5,CALL,2,6526.0
2026-09-25,20.5,PUT,2,56.0
2026-09-25,21.0,CALL,2,6379.0
2026-09-25,21.0,PUT,2,103.0
2026-09-25,21.5,CALL,2,2521.0
2026-09-25,21.5,PUT,2,9.0
2026-09-25,22.0,CALL,2,6711.0
2026-09-25,22.0,PUT,2,19.0
2026-09-25,22.5,CALL,2,1272.0
2026-09-25,22.5,PUT,2,2.0
2026-09-25,23.0,CALL,2,2669.0
2026-09-25,23.0,PUT,2,1.0
2026-09-25,23.5,CALL,2,623.0
2026-09-25,23.5,PUT,2,1.0
2026-09-25,24.0,CALL,2,1798.0
2026-09-25,24.0,PUT,2,8.0
2026-09-25,25.0,CALL,2,4980.0
2026-09-25,25.0,PUT,2,142.0
2026-09-25,30.0,CALL,2,2955.0
2026-09-25,30.0,PUT,2,0.0
2026-10-02,5.0,PUT,9,3.0
2026-10-02,9.0,CALL,9,53.0
2026-10-02,9.0,PUT,9,1.0
2026-10-02,10.0,CALL,9,3.0
2026-10-02,11.0,CALL,9,4.0
2026-10-02,11.0,PUT,9,245.0
2026-10-02,11.5,CALL,9,4.0
2026-10-02,11.5,PUT,9,1002.0
2026-10-02,12.0,CALL,9,36.0
2026-10-02,12.0,PUT,9,20.0
2026-10-02,12.5,CALL,9,13.0
2026-10-02,12.5,PUT,9,22.0
2026-10-02,13.0,CALL,9,10.0
2026-10-02,13.0,PUT,9,1086.0
2026-10-02,13.5,CALL,9,6.0
2026-10-02,13.5,PUT,9,125.0
2026-10-02,14.0,CALL,9,31.0
2026-10-02,14.0,PUT,9,227.0
2026-10-02,14.5,CALL,9,16.0
2026-10-02,14.5,PUT,9,1508.0
2026-10-02,15.0,CALL,9,297.0
2026-10-02,15.0,PUT,9,2782.0
2026-10-02,15.5,CALL,9,261.0
2026-10-02,15.5,PUT,9,3263.0
2026-10-02,16.0,CALL,9,864.0
2026-10-02,16.0,PUT,9,9538.0
2026-10-02,16.5,CALL,9,854.0
2026-10-02,16.5,PUT,9,10795.0
2026-10-02,17.0,CALL,9,3937.0
2026-10-02,17.0,PUT,9,9899.0
2026-10-02,17.5,CALL,9,7466.0
2026-10-02,17.5,PUT,9,4351.0
2026-10-02,18.0,CALL,9,10160.0
2026-10-02,18.0,PUT,9,3510.0
2026-10-02,18.5,CALL,9,20204.0
2026-10-02,18.5,PUT,9,983.0
2026-10-02,19.0,CALL,9,8963.0
2026-10-02,19.0,PUT,9,589.0
2026-10-02,19.5,CALL,9,3591.0
2026-10-02,19.5,PUT,9,196.0
2026-10-02,20.0,CALL,9,7016.0
2026-10-02,20.0,PUT,9,250.0
2026-10-02,20.5,CALL,9,2663.0
2026-10-02,20.5,PUT,9,107.0
2026-10-02,21.0,CALL,9,3015.0
2026-10-02,21.0,PUT,9,42.0
2026-10-02,21.5,CALL,9,1129.0
2026-10-02,21.5,PUT,9,1.0
2026-10-02,22.0,CALL,9,2697.0
2026-10-02,22.0,PUT,9,20.0
2026-10-02,22.5,CALL,9,426.0
2026-10-02,22.5,PUT,9,0.0
2026-10-02,23.0,CALL,9,3770.0
2026-10-02,23.0,PUT,9,0.0
2026-10-02,23.5,CALL,9,456.0
2026-10-02,23.5,PUT,9,2.0
2026-10-02,24.0,CALL,9,2050.0
2026-10-02,24.0,PUT,9,0.0
2026-10-02,25.0,CALL,9,3962.0
2026-10-02,25.0,PUT,9,0.0
2026-10-02,30.0,CALL,9,3152.0
2026-10-02,30.0,PUT,9,0.0
2026-10-09,10.0,CALL,16,71.0
2026-10-09,10.0,PUT,16,17.0
2026-10-09,11.0,CALL,16,4.0
2026-10-09,11.0,PUT,16,607.0
2026-10-09,12.0,CALL,16,20.0
2026-10-09,12.0,PUT,16,68.0
2026-10-09,12.5,PUT,16,20.0
2026-10-09,13.0,CALL,16,8.0
2026-10-09,13.0,PUT,16,29.0
2026-10-09,13.5,CALL,16,1.0
2026-10-09,13.5,PUT,16,52.0
2026-10-09,14.0,CALL,16,84.0
2026-10-09,14.0,PUT,16,244.0
2026-10-09,14.5,CALL,16,4.0
2026-10-09,14.5,PUT,16,2657.0
2026-10-09,15.0,CALL,16,235.0
2026-10-09,15.0,PUT,16,1461.0
2026-10-09,15.5,CALL,16,27.0
2026-10-09,15.5,PUT,16,2342.0
2026-10-09,16.0,CALL,16,201.0
2026-10-09,16.0,PUT,16,4001.0
2026-10-09,16.5,CALL,16,212.0
2026-10-09,16.5,PUT,16,3880.0
2026-10-09,17.0,CALL,16,2543.0
2026-10-09,17.0,PUT,16,4152.0
2026-10-09,17.5,CALL,16,17608.0
2026-10-09,17.5,PUT,16,4793.0
2026-10-09,18.0,CALL,16,6273.0
2026-10-09,18.0,PUT,16,3275.0
2026-10-09,18.5,CALL,16,3895.0
2026-10-09,18.5,PUT,16,1031.0
2026-10-09,19.0,CALL,16,3763.0
2026-10-09,19.0,PUT,16,446.0
2026-10-09,19.5,CALL,16,2857.0
2026-10-09,19.5,PUT,16,27.0
2026-10-09,20.0,CALL,16,3922.0
2026-10-09,20.0,PUT,16,178.0
2026-10-09,20.5,CALL,16,1956.0
2026-10-09,20.5,PUT,16,5.0
2026-10-09,21.0,CALL,16,1876.0
2026-10-09,21.0,PUT,16,26.0
2026-10-09,21.5,CALL,16,464.0
2026-10-09,21.5,PUT,16,2.0
2026-10-09,22.0,CALL,16,714.0
2026-10-09,22.0,PUT,16,6.0
2026-10-09,22.5,CALL,16,556.0
2026-10-09,22.5,PUT,16,0.0
2026-10-09,23.0,CALL,16,572.0
2026-10-09,23.0,PUT,16,3.0
2026-10-09,23.5,CALL,16,133.0
2026-10-09,23.5,PUT,16,0.0
2026-10-09,24.0,CALL,16,203.0
2026-10-09,24.0,PUT,16,2.0
2026-10-09,25.0,CALL,16,312.0
2026-10-09,25.0,PUT,16,0.0
2026-10-09,30.0,CALL,16,2078.0
2026-10-16,5.0,CALL,23,164.0
2026-10-16,5.0,PUT,23,63.0
2026-10-16,6.0,CALL,23,831.0
2026-10-16,6.0,PUT,23,0.0
2026-10-16,7.0,CALL,23,65.0
2026-10-16,7.0,PUT,23,39.0
2026-10-16,8.0,CALL,23,42.0
2026-10-16,8.0,PUT,23,437.0
2026-10-16,9.0,CALL,23,48.0
2026-10-16,9.0,PUT,23,931.0
2026-10-16,10.0,CALL,23,229.0
2026-10-16,10.0,PUT,23,5908.0
2026-10-16,11.0,CALL,23,153.0
2026-10-16,11.0,PUT,23,3990.0
2026-10-16,11.5,CALL,23,1.0
2026-10-16,11.5,PUT,23,1.0
2026-10-16,12.0,CALL,23,257.0
2026-10-16,12.0,PUT,23,4529.0
2026-10-16,12.5,CALL,23,2.0
2026-10-16,12.5,PUT,23,4.0
2026-10-16,13.0,CALL,23,301.0
2026-10-16,13.0,PUT,23,3797.0
2026-10-16,13.5,PUT,23,21.0
2026-10-16,14.0,CALL,23,543.0
2026-10-16,14.0,PUT,23,4667.0
2026-10-16,14.5,CALL,23,30.0
2026-10-16,14.5,PUT,23,174.0
2026-10-16,15.0,CALL,23,1390.0
2026-10-16,15.0,PUT,23,15396.0
2026-10-16,15.5,CALL,23,140.0
2026-10-16,15.5,PUT,23,1138.0
2026-10-16,16.0,CALL,23,5529.0
2026-10-16,16.0,PUT,23,18171.0
2026-10-16,16.5,CALL,23,347.0
2026-10-16,16.5,PUT,23,1752.0
2026-10-16,17.0,CALL,23,13425.0
2026-10-16,17.0,PUT,23,18981.0
2026-10-16,17.5,CALL,23,1812.0
2026-10-16,17.5,PUT,23,187.0
2026-10-16,18.0,CALL,23,23702.0
2026-10-16,18.0,PUT,23,10915.0
2026-10-16,18.5,CALL,23,2133.0
2026-10-16,18.5,PUT,23,51.0
2026-10-16,19.0,CALL,23,34857.0
2026-10-16,19.0,PUT,23,5548.0
2026-10-16,19.5,CALL,23,1168.0
2026-10-16,19.5,PUT,23,1.0
2026-10-16,20.0,CALL,23,35825.0
2026-10-16,20.0,PUT,23,2547.0
2026-10-16,20.5,CALL,23,359.0
2026-10-16,21.0,CALL,23,10688.0
2026-10-16,21.0,PUT,23,747.0
2026-10-16,21.5,CALL,23,14.0
2026-10-16,21.5,PUT,23,1.0
2026-10-16,22.0,CALL,23,12270.0
2026-10-16,22.0,PUT,23,1111.0
2026-10-16,22.5,CALL,23,30.0
2026-10-16,23.0,CALL,23,7924.0
2026-10-16,23.0,PUT,23,587.0
2026-10-16,24.0,CALL,23,8371.0
2026-10-16,24.0,PUT,23,165.0
2026-10-16,25.0,CALL,23,11332.0
2026-10-16,25.0,PUT,23,135.0
2026-10-16,26.0,CALL,23,4993.0
2026-10-16,26.0,PUT,23,0.0
2026-10-16,27.0,CALL,23,3730.0
2026-10-16,27.0,PUT,23,0.0
2026-10-16,28.0,CALL,23,2470.0
2026-10-16,28.0,PUT,23,0.0
2026-10-16,29.0,CALL,23,2028.0
2026-10-16,29.0,PUT,23,0.0
2026-10-16,30.0,CALL,23,11178.0
2026-10-16,30.0,PUT,23,0.0
2026-10-16,35.0,CALL,23,5549.0
2026-10-16,35.0,PUT,23,0.0
2026-10-23,10.0,CALL,30,2.0
2026-10-23,10.0,PUT,30,65.0
2026-10-23,11.0,CALL,30,23.0
2026-10-23,11.0,PUT,30,14.0
2026-10-23,12.0,CALL,30,23.0
2026-10-23,12.0,PUT,30,83.0
2026-10-23,13.0,CALL,30,46.0
2026-10-23,13.0,PUT,30,30.0
2026-10-23,13.5,CALL,30,52.0
2026-10-23,13.5,PUT,30,306.0
2026-10-23,14.0,CALL,30,42.0
2026-10-23,14.0,PUT,30,698.0
2026-10-23,14.5,CALL,30,2.0
2026-10-23,14.5,PUT,30,1855.0
2026-10-23,15.0,CALL,30,62.0
2026-10-23,15.0,PUT,30,3109.0
2026-10-23,15.5,CALL,30,105.0
2026-10-23,15.5,PUT,30,2717.0
2026-10-23,16.0,CALL,30,211.0
2026-10-23,16.0,PUT,30,4313.0
2026-10-23,16.5,CALL,30,418.0
2026-10-23,16.5,PUT,30,2145.0
2026-10-23,17.0,CALL,30,1273.0
2026-10-23,17.0,PUT,30,1975.0
2026-10-23,17.5,CALL,30,2156.0
2026-10-23,17.5,PUT,30,1080.0
2026-10-23,18.0,CALL,30,3095.0
2026-10-23,18.0,PUT,30,762.0
2026-10-23,18.5,CALL,30,1965.0
2026-10-23,18.5,PUT,30,266.0
2026-10-23,19.0,CALL,30,6021.0
2026-10-23,19.0,PUT,30,1182.0
2026-10-23,19.5,CALL,30,1660.0
2026-10-23,19.5,PUT,30,24.0
2026-10-23,20.0,CALL,30,4814.0
2026-10-23,20.0,PUT,30,83.0
2026-10-23,20.5,CALL,30,1338.0
2026-10-23,20.5,PUT,30,5.0
2026-10-23,21.0,CALL,30,1235.0
2026-10-23,21.0,PUT,30,37.0
2026-10-23,21.5,CALL,30,309.0
2026-10-23,21.5,PUT,30,5.0
2026-10-23,22.0,CALL,30,1241.0
2026-10-23,22.0,PUT,30,44.0
2026-10-23,22.5,CALL,30,724.0
2026-10-23,23.0,CALL,30,1223.0
2026-10-23,23.0,PUT,30,43.0
2026-10-23,23.5,CALL,30,138.0
2026-10-23,24.0,CALL,30,599.0
