expiration,strike,option_type,DTE,openInterest
2026-09-25,50.0,CALL,3,4
2026-09-25,55.0,CALL,3,12
2026-09-25,55.0,PUT,3,21
2026-09-25,56.0,PUT,3,44
2026-09-25,57.0,CALL,3,2
2026-09-25,57.0,PUT,3,13
2026-09-25,58.0,CALL,3,3
2026-09-25,58.0,PUT,3,3
2026-09-25,59.0,CALL,3,2
2026-09-25,59.0,PUT,3,21
2026-09-25,60.0,CALL,3,85
2026-09-25,60.0,PUT,3,123
2026-09-25,61.0,CALL,3,2
2026-09-25,61.0,PUT,3,3
2026-09-25,62.0,CALL,3,4
2026-09-25,62.0,PUT,3,78
2026-09-25,63.0,CALL,3,21
2026-09-25,63.0,PUT,3,43
2026-09-25,64.0,CALL,3,44
2026-09-25,64.0,PUT,3,74
2026-09-25,65.0,CALL,3,195
2026-09-25,65.0,PUT,3,469
2026-09-25,66.0,CALL,3,110
2026-09-25,66.0,PUT,3,1135
2026-09-25,67.0,CALL,3,81
2026-09-25,67.0,PUT,3,1191
2026-09-25,68.0,CALL,3,213
2026-09-25,68.0,PUT,3,1701
2026-09-25,69.0,CALL,3,234
2026-09-25,69.0,PUT,3,2063
2026-09-25,70.0,CALL,3,973
2026-09-25,70.0,PUT,3,3458
2026-09-25,71.0,CALL,3,4338
2026-09-25,71.0,PUT,3,1705
2026-09-25,72.0,CALL,3,5558
2026-09-25,72.0,PUT,3,1122
2026-09-25,73.0,CALL,3,2991
2026-09-25,73.0,PUT,3,6359
2026-09-25,74.0,CALL,3,3300
2026-09-25,74.0,PUT,3,443
2026-09-25,75.0,CALL,3,5797
2026-09-25,75.0,PUT,3,2723
2026-09-25,76.0,CALL,3,1550
2026-09-25,76.0,PUT,3,192
2026-09-25,77.0,CALL,3,1720
2026-09-25,77.0,PUT,3,177
2026-09-25,78.0,CALL,3,718
2026-09-25,78.0,PUT,3,231
2026-09-25,79.0,CALL,3,3152
2026-09-25,79.0,PUT,3,27
2026-09-25,80.0,CALL,3,2130
2026-09-25,80.0,PUT,3,0
2026-09-25,81.0,CALL,3,322
2026-09-25,81.0,PUT,3,0
2026-09-25,82.0,CALL,3,411
2026-09-25,82.0,PUT,3,0
2026-09-25,83.0,CALL,3,192
2026-09-25,83.0,PUT,3,0
2026-09-25,84.0,CALL,3,415
2026-09-25,84.0,PUT,3,0
2026-09-25,85.0,CALL,3,602
2026-09-25,85.0,PUT,3,0
2026-09-25,86.0,CALL,3,150
2026-09-25,87.0,CALL,3,248
2026-09-25,88.0,CALL,3,117
2026-09-25,88.0,PUT,3,0
2026-09-25,89.0,CALL,3,23
2026-09-25,90.0,CALL,3,445
2026-09-25,91.0,CALL,3,4
2026-09-25,95.0,CALL,3,242
2026-09-25,100.0,CALL,3,37
2026-10-02,50.0,CALL,10,2
2026-10-02,55.0,PUT,10,22
2026-10-02,60.0,CALL,10,7
2026-10-02,60.0,PUT,10,39
2026-10-02,62.0,CALL,10,1
2026-10-02,62.0,PUT,10,228
2026-10-02,63.0,CALL,10,2
2026-10-02,63.0,PUT,10,228
2026-10-02,64.0,CALL,10,46
2026-10-02,64.0,PUT,10,46
2026-10-02,65.0,CALL,10,131
2026-10-02,65.0,PUT,10,831
2026-10-02,66.0,CALL,10,27
2026-10-02,66.0,PUT,10,477
2026-10-02,67.0,CALL,10,95
2026-10-02,67.0,PUT,10,1015
2026-10-02,68.0,CALL,10,72
2026-10-02,68.0,PUT,10,683
2026-10-02,69.0,CALL,10,85
2026-10-02,69.0,PUT,10,572
2026-10-02,70.0,CALL,10,671
2026-10-02,70.0,PUT,10,1038
2026-10-02,71.0,CALL,10,770
2026-10-02,71.0,PUT,10,2405
2026-10-02,72.0,CALL,10,829
2026-10-02,72.0,PUT,10,635
2026-10-02,73.0,CALL,10,717
2026-10-02,73.0,PUT,10,669
2026-10-02,74.0,CALL,10,1543
2026-10-02,74.0,PUT,10,246
2026-10-02,75.0,CALL,10,1163
2026-10-02,75.0,PUT,10,307
2026-10-02,76.0,CALL,10,385
2026-10-02,76.0,PUT,10,79
2026-10-02,77.0,CALL,10,644
2026-10-02,77.0,PUT,10,28
2026-10-02,78.0,CALL,10,923
2026-10-02,78.0,PUT,10,73
2026-10-02,79.0,CALL,10,330
2026-10-02,79.0,PUT,10,33
2026-10-02,80.0,CALL,10,3434
2026-10-02,80.0,PUT,10,43
2026-10-02,81.0,CALL,10,321
2026-10-02,81.0,PUT,10,1
2026-10-02,82.0,CALL,10,153
2026-10-02,82.0,PUT,10,0
2026-10-02,83.0,CALL,10,142
2026-10-02,83.0,PUT,10,0
2026-10-02,84.0,CALL,10,154
2026-10-02,84.0,PUT,10,0
2026-10-02,85.0,CALL,10,221
2026-10-02,85.0,PUT,10,0
2026-10-02,86.0,CALL,10,367
2026-10-02,86.0,PUT,10,0
2026-10-02,87.0,CALL,10,2239
2026-10-02,88.0,CALL,10,70
2026-10-02,89.0,CALL,10,55
2026-10-02,89.0,PUT,10,0
2026-10-02,90.0,CALL,10,691
2026-10-02,91.0,CALL,10,23
2026-10-02,95.0,CALL,10,51
2026-10-02,100.0,CALL,10,5
2026-10-02,100.0,PUT,10,0
2026-10-09,50.0,CALL,17,5
2026-10-09,55.0,PUT,17,31
2026-10-09,60.0,CALL,17,6
2026-10-09,60.0,PUT,17,128
2026-10-09,61.0,PUT,17,17
2026-10-09,62.0,PUT,17,35
2026-10-09,63.0,CALL,17,9
2026-10-09,63.0,PUT,17,25
2026-10-09,64.0,PUT,17,44
2026-10-09,65.0,CALL,17,6
2026-10-09,65.0,PUT,17,333
2026-10-09,66.0,CALL,17,22
2026-10-09,66.0,PUT,17,168
2026-10-09,67.0,CALL,17,12
2026-10-09,67.0,PUT,17,373
2026-10-09,68.0,CALL,17,6
2026-10-09,68.0,PUT,17,375
2026-10-09,69.0,CALL,17,121
2026-10-09,69.0,PUT,17,465
2026-10-09,70.0,CALL,17,324
2026-10-09,70.0,PUT,17,1129
2026-10-09,71.0,CALL,17,525
2026-10-09,71.0,PUT,17,203
2026-10-09,72.0,CALL,17,523
2026-10-09,72.0,PUT,17,204
2026-10-09,73.0,CALL,17,196
2026-10-09,73.0,PUT,17,113
2026-10-09,74.0,CALL,17,190
2026-10-09,74.0,PUT,17,43
2026-10-09,75.0,CALL,17,713
2026-10-09,75.0,PUT,17,221
2026-10-09,76.0,CALL,17,326
2026-10-09,76.0,PUT,17,35
2026-10-09,77.0,CALL,17,260
2026-10-09,77.0,PUT,17,14
2026-10-09,78.0,CALL,17,866
2026-10-09,78.0,PUT,17,15
2026-10-09,79.0,CALL,17,486
2026-10-09,79.0,PUT,17,93
2026-10-09,80.0,CALL,17,597
2026-10-09,80.0,PUT,17,15
2026-10-09,81.0,CALL,17,52
2026-10-09,82.0,CALL,17,124
2026-10-09,82.0,PUT,17,1
2026-10-09,83.0,CALL,17,469
2026-10-09,83.0,PUT,17,0
2026-10-09,84.0,CALL,17,156
2026-10-09,85.0,CALL,17,229
2026-10-09,86.0,CALL,17,34
2026-10-09,87.0,CALL,17,2098
2026-10-09,88.0,CALL,17,22
