expiration,strike,option_type,DTE,openInterest
2026-09-18,70.0,CALL,4,5.0
2026-09-18,70.0,PUT,4,48.0
2026-09-18,75.0,CALL,4,0.0
2026-09-18,75.0,PUT,4,9.0
2026-09-18,80.0,PUT,4,15.0
2026-09-18,85.0,CALL,4,36.0
2026-09-18,85.0,PUT,4,74.0
2026-09-18,90.0,CALL,4,12.0
2026-09-18,90.0,PUT,4,52.0
2026-09-18,95.0,CALL,4,2.0
2026-09-18,95.0,PUT,4,192.0
2026-09-18,100.0,CALL,4,428.0
2026-09-18,100.0,PUT,4,3670.0
2026-09-18,105.0,CALL,4,44.0
2026-09-18,105.0,PUT,4,1577.0
2026-09-18,110.0,CALL,4,40.0
2026-09-18,110.0,PUT,4,1254.0
2026-09-18,115.0,CALL,4,30.0
2026-09-18,115.0,PUT,4,11837.0
2026-09-18,120.0,CALL,4,139.0
2026-09-18,120.0,PUT,4,3831.0
2026-09-18,124.0,CALL,4,0.0
2026-09-18,124.0,PUT,4,302.0
2026-09-18,125.0,CALL,4,43.0
2026-09-18,125.0,PUT,4,5466.0
2026-09-18,126.0,CALL,4,1.0
2026-09-18,126.0,PUT,4,165.0
2026-09-18,127.0,PUT,4,31.0
2026-09-18,128.0,CALL,4,2.0
2026-09-18,128.0,PUT,4,281.0
2026-09-18,129.0,CALL,4,0.0
2026-09-18,129.0,PUT,4,75.0
2026-09-18,130.0,CALL,4,179.0
2026-09-18,130.0,PUT,4,4532.0
2026-09-18,131.0,CALL,4,4.0
2026-09-18,131.0,PUT,4,36.0
2026-09-18,132.0,CALL,4,2.0
2026-09-18,132.0,PUT,4,79.0
2026-09-18,133.0,CALL,4,1.0
2026-09-18,133.0,PUT,4,125.0
2026-09-18,134.0,CALL,4,5.0
2026-09-18,134.0,PUT,4,81.0
2026-09-18,135.0,CALL,4,532.0
2026-09-18,135.0,PUT,4,3728.0
2026-09-18,136.0,CALL,4,5.0
2026-09-18,136.0,PUT,4,104.0
2026-09-18,137.0,CALL,4,23.0
2026-09-18,137.0,PUT,4,173.0
2026-09-18,138.0,CALL,4,39.0
2026-09-18,138.0,PUT,4,233.0
2026-09-18,139.0,CALL,4,61.0
2026-09-18,139.0,PUT,4,181.0
2026-09-18,140.0,CALL,4,1545.0
2026-09-18,140.0,PUT,4,4288.0
2026-09-18,141.0,CALL,4,54.0
2026-09-18,141.0,PUT,4,158.0
2026-09-18,142.0,CALL,4,228.0
2026-09-18,142.0,PUT,4,289.0
2026-09-18,143.0,CALL,4,82.0
2026-09-18,143.0,PUT,4,177.0
2026-09-18,144.0,CALL,4,60.0
2026-09-18,144.0,PUT,4,121.0
2026-09-18,145.0,CALL,4,2229.0
2026-09-18,145.0,PUT,4,4559.0
2026-09-18,146.0,CALL,4,711.0
2026-09-18,146.0,PUT,4,304.0
2026-09-18,147.0,CALL,4,112.0
2026-09-18,147.0,PUT,4,88.0
2026-09-18,148.0,CALL,4,258.0
2026-09-18,148.0,PUT,4,86.0
2026-09-18,149.0,CALL,4,123.0
2026-09-18,149.0,PUT,4,474.0
2026-09-18,150.0,CALL,4,3890.0
2026-09-18,150.0,PUT,4,6731.0
2026-09-18,152.5,CALL,4,426.0
2026-09-18,152.5,PUT,4,152.0
2026-09-18,155.0,CALL,4,3151.0
2026-09-18,155.0,PUT,4,654.0
2026-09-18,157.5,CALL,4,213.0
2026-09-18,157.5,PUT,4,2.0
2026-09-18,160.0,CALL,4,4337.0
2026-09-18,160.0,PUT,4,968.0
2026-09-18,162.5,CALL,4,295.0
2026-09-18,165.0,CALL,4,4701.0
2026-09-18,165.0,PUT,4,1134.0
2026-09-18,167.5,CALL,4,3.0
2026-09-18,170.0,CALL,4,3617.0
2026-09-18,170.0,PUT,4,87.0
2026-09-18,172.5,CALL,4,5.0
2026-09-18,175.0,CALL,4,8871.0
2026-09-18,175.0,PUT,4,12.0
2026-09-18,180.0,CALL,4,4991.0
2026-09-18,180.0,PUT,4,0.0
2026-09-18,185.0,CALL,4,1515.0
2026-09-18,185.0,PUT,4,4.0
2026-09-18,190.0,CALL,4,9552.0
2026-09-18,190.0,PUT,4,1.0
2026-09-18,195.0,CALL,4,1249.0
2026-09-18,195.0,PUT,4,1.0
2026-09-18,200.0,CALL,4,8555.0
